World Rank,Institution,Country,Share,Count,Year,Publication share
364,Clemson University,United States of America (USA),33.01,78,2020,0.04939366114681949
365,Hiroshima University (HU),Japan,32.61,120,2020,0.07599024791818383
366,University of Bologna (UNIBO),Italy,32.57,307,2020,0.19440838425735366
367,University of Milan (UNIMI),Italy,32.49,265,2020,0.1678117974859893
368,Ningbo University (NBU),China,32.49,82,2020,0.051926669410758956
369,Curtin University,Australia,32.48,152,2020,0.09625431402969953
370,University of Innsbruck (LFU),Austria,32.41,147,2020,0.0930880536997752
371,University of Technology Sydney (UTS),Australia,32.15,105,2020,0.06649146692841086
372,Hunan Normal University (HUNNU),China,31.87,87,2020,0.05509292974068328
373,The University of Texas Health Science Center at Houston (UTHealth),United States of America (USA),31.87,174,2020,0.11018585948136655
374,The University of Auckland,New Zealand,31.76,189,2020,0.11968464047113954
375,University of Twente (UTwente),Netherlands,31.53,92,2020,0.058259190070607605
376,Gwangju Institute of Science and Technology (GIST),South Korea,31.41,72,2020,0.0455941487509103
377,Lancaster University,United Kingdom (UK),31.12,177,2020,0.11208561567932115
378,University of Antwerp (UA),Belgium,31.08,182,2020,0.11525187600924548
379,Waseda University,Japan,31.07,104,2020,0.06585821486242599
380,University of Victoria (UVic),Canada,30.86,191,2020,0.12095114460310927
381,Bar-Ilan University (BIU),Israel,30.78,94,2020,0.059525694202577334
382,Technical University of Darmstadt (TU Darmstadt),Germany,30.64,131,2020,0.08295602064401734
383,Tianjin University of Technology (TJUT),China,30.57,62,2020,0.039261628091061644
384,TU Dortmund University,Germany,30.5,157,2020,0.09942057435962386
385,Kyung Hee University (KHU),South Korea,30.48,158,2020,0.10005382642560871
386,The University of Alabama at Birmingham (UAB),United States of America (USA),30.43,147,2020,0.0930880536997752
387,Beijing University of Technology (BJUT),China,30.41,114,2020,0.07219073552227465
388,Hefei University of Technology (HFUT),China,30.1,67,2020,0.04242788842098597
389,Indian Institute of Science Education and Research Pune (IISER Pune),India,30.04,101,2020,0.06395845866447139
390,University of Central Florida (UCF),United States of America (USA),30.0,74,2020,0.04686065288288003
391,Yunnan University (YNU),China,29.94,76,2020,0.048127157014849764
392,Wayne State University,United States of America (USA),29.66,159,2020,0.10068707849159358
393,Queen's University,Canada,29.5,171,2020,0.10828610328341196
394,Huazhong Agricultural University (HZAU),China,29.47,79,2020,0.05002691321280436
395,University of Sussex,United Kingdom (UK),29.22,129,2020,0.08168951651204762
396,Chiba University,Japan,29.1,106,2020,0.06712471899439572
397,Laval University (UL),Canada,29.09,141,2020,0.08928854130386601
398,University of Milano-Bicocca (UNIMIB),Italy,29.07,218,2020,0.13804895038470064
399,Macquarie University,Australia,29.01,142,2020,0.08992179336985087
400,Royal Melbourne Institute of Technology (RMIT University),Australia,28.55,113,2020,0.07155748345628977
401,Temple University,United States of America (USA),28.46,110,2020,0.06965772725833518
402,Wenzhou University (WZU),China,28.38,65,2020,0.041161384289016244
403,University of Bergen (UIB),Norway,28.35,246,2020,0.15578000823227686
404,West Virginia University (WVU),United States of America (USA),28.32,87,2020,0.05509292974068328
405,Boston College (BC),United States of America (USA),28.23,76,2020,0.048127157014849764
406,University of Naples Federico II (UNINA),Italy,28.18,276,2020,0.17477757021182283
407,Indian Institute of Technology Guwahati (IIT Guwahati),India,28.11,48,2020,0.030396099167273535
408,Queensland University of Technology (QUT),Australia,28.1,125,2020,0.07915650824810816
409,Institute for Advanced Study (IAS),United States of America (USA),28.08,80,2020,0.05066016527878922
410,Tulane University,United States of America (USA),28.0,85,2020,0.05382642560871354
411,Hebei University (HBU),China,27.97,62,2020,0.039261628091061644
412,Bielefeld University,Germany,27.89,66,2020,0.04179463635500111
413,University of Otago,New Zealand,27.59,138,2020,0.08738878510591142
414,Simon Fraser University (SFU),Canada,27.26,170,2020,0.10765285121742708
415,Indian Institute of Technology Madras (IIT Madras),India,27.06,133,2020,0.08422252477598709
416,Southern Medical University (SMU),China,26.93,90,2020,0.05699268593863788
417,Saarland University (Saar-Uni),Germany,26.86,93,2020,0.05889244213659247
418,University of South Carolina - Columbia (SC),United States of America (USA),26.74,82,2020,0.051926669410758956
419,National Institute of Applied Sciences (INSA),France,26.65,265,2020,0.1678117974859893
420,Qingdao University (QU),China,26.39,78,2020,0.04939366114681949
421,Queen's University Belfast (QUB),United Kingdom (UK),26.3,104,2020,0.06585821486242599
422,Hubei University (HUBU),China,26.24,61,2020,0.03862837602507679
423,University of Jinan (UJN),China,26.2,62,2020,0.039261628091061644
424,Giessen University (JLU),Germany,26.08,178,2020,0.11271886774530601
425,Erasmus University Rotterdam (EUR),Netherlands,26.0,162,2020,0.10258683468954818
426,Umeå University (UMU),Sweden,25.78,127,2020,0.08042301238007789
427,Martin Luther University Halle-Wittenberg (MLU),Germany,25.74,134,2020,0.08485577684197194
428,Jiangsu Normal University (JSNU),China,25.67,51,2020,0.03229585536522813
429,"University of Nevada, Reno (UNR)",United States of America (USA),25.66,76,2020,0.048127157014849764
430,University of Strathclyde,United Kingdom (UK),25.61,102,2020,0.06459171073045626
431,University of Potsdam,Germany,25.51,154,2020,0.09752081816166924
432,Drexel University,United States of America (USA),25.46,106,2020,0.06712471899439572
433,Hong Kong Baptist University (HKBU),China,25.37,101,2020,0.06395845866447139
434,Pusan National University (PNU),South Korea,25.3,101,2020,0.06395845866447139
435,Syracuse University,United States of America (USA),25.14,103,2020,0.06522496279644112
436,Autonomous University of Barcelona (UAB),Spain,25.01,259,2020,0.16401228509008012
437,Nanjing Medical University (NJMU),China,25.01,103,2020,0.06522496279644112
438,Changzhou University (CZU),China,24.97,45,2020,0.02849634296931894
439,University of Oviedo (UniOvi),Spain,24.87,164,2020,0.10385333882151791
440,École Normale Supérieure (ENS Paris),France,24.65,329,2020,0.20833992970902068
441,Nanjing Agricultural University (NAU),China,24.59,72,2020,0.0455941487509103
442,University of Jyväskylä,Finland,24.56,188,2020,0.11905138840515467
443,University of Oldenburg,Germany,24.55,64,2020,0.04052813222303138
444,China University of Petroleum (CUP),China,24.45,51,2020,0.03229585536522813
445,National Cheng Kung University (NCKU),Taiwan,24.01,83,2020,0.05255992147674382
446,Scuola Internazionale Superiore di Studi Avanzati (SISSA),Italy,23.77,96,2020,0.06079219833454707
447,University of Pisa (UNIPI),Italy,23.73,250,2020,0.15831301649621632
448,Army Medical University,China,23.42,133,2020,0.08422252477598709
449,University of Turin (UNITO),Italy,23.33,251,2020,0.15894626856220118
450,University of Buenos Aires (UBA),Argentina,23.24,142,2020,0.08992179336985087
451,University of Leicester,United Kingdom (UK),23.22,111,2020,0.07029097932432005
452,Guangzhou University (GU),China,23.22,68,2020,0.04306114048697084
453,Ewha Womans University (Ewha),South Korea,23.13,80,2020,0.05066016527878922
454,Rensselaer Polytechnic Institute (RPI),United States of America (USA),23.12,70,2020,0.044327644618940565
455,University of Liège (ULg),Belgium,23.03,104,2020,0.06585821486242599
456,Dalhousie University,Canada,23.02,100,2020,0.06332520659848653
457,Saint Petersburg State University (SPbU),Russia,23.01,101,2020,0.06395845866447139
458,Texas Tech University (TTU),United States of America (USA),23.01,148,2020,0.09372130576576006
459,Griffith University,Australia,23.0,85,2020,0.05382642560871354
460,University of Saskatchewan (U of S),Canada,22.85,105,2020,0.06649146692841086
461,Indian Institute of Technology Kharagpur (IIT Kharagpur),India,22.8,36,2020,0.02279707437545515
462,Hohai University (HHU),China,22.71,56,2020,0.03546211569515245
463,University of Southern Denmark (SDU),Denmark,22.47,123,2020,0.07789000411613843
464,Swansea University,United Kingdom (UK),22.46,84,2020,0.05319317354272868
465,Moscow Institute of Physics and Technology - State University (MIPT),Russia,22.19,196,2020,0.12411740493303358
466,"China University of Geosciences, Beijing (CUGB)",China,22.16,63,2020,0.03989488015704651
467,Chung-Ang University (CAU),South Korea,22.13,56,2020,0.03546211569515245
468,Guangzhou Medical University (GMU),China,22.09,106,2020,0.06712471899439572
469,Tokyo Medical and Dental University (TMDU),Japan,22.04,68,2020,0.04306114048697084
470,University of East Anglia (UEA),United Kingdom (UK),22.04,109,2020,0.06902447519235032
471,Skolkovo Institute of Science and Technology (Skoltech),Russia,22.0,97,2020,0.061425450400531934
472,University of Texas Medical Branch (UTMB),United States of America (USA),21.95,66,2020,0.04179463635500111
473,The George Washington University (GW),United States of America (USA),21.87,97,2020,0.061425450400531934
474,University College Dublin (UCD),Ireland,21.84,176,2020,0.11145236361333628
475,Tokyo University of Science (TUS),Japan,21.79,68,2020,0.04306114048697084
476,Auburn University,United States of America (USA),21.72,88,2020,0.05572618180666814
477,Masaryk University (MU),Czech Republic,21.64,118,2020,0.0747237437862141
478,Hangzhou Normal University (HZNU),China,21.54,73,2020,0.046227400816895164
479,University of Fribourg (UNIFR),Switzerland,21.54,95,2020,0.060158946268562205
480,University of Iceland,Iceland,21.5,88,2020,0.05572618180666814
481,Zhejiang Sci-Tech University (ZSTU),China,21.4,46,2020,0.029129595035303803
482,University of Granada (UGR),Spain,21.34,137,2020,0.08675553303992654
483,University of Dundee,United Kingdom (UK),21.31,103,2020,0.06522496279644112
484,Colorado School of Mines,United States of America (USA),21.2,80,2020,0.05066016527878922
485,Jiangxi Normal University (JXNU),China,21.12,53,2020,0.03356235949719786
486,ITMO National Research University (ITMO University),Russia,21.1,63,2020,0.03989488015704651
487,The University of Texas at San Antonio (UTSA),United States of America (USA),21.01,65,2020,0.041161384289016244
488,University of Tasmania (UTAS),Australia,20.96,123,2020,0.07789000411613843
489,The University of Texas Health Science Center at San Antonio (UT Health San Antonio),United States of America (USA),20.95,68,2020,0.04306114048697084
490,Huaqiao University (HQU),China,20.91,35,2020,0.022163822309470282
491,University of Lorraine (UL),France,20.79,126,2020,0.07978976031409302
492,University of Ljubljana,Slovenia,20.78,134,2020,0.08485577684197194
493,Indian Institute of Science Education and Research Bhopal (IISER Bhopal),India,20.55,29,2020,0.018364309913561094
494,University of Macau (UM),China,20.29,83,2020,0.05255992147674382
495,University of Reading,United Kingdom (UK),20.23,95,2020,0.060158946268562205
496,University of Turku (UTU),Finland,20.13,98,2020,0.06205870246651679
497,Swedish University of Agricultural Sciences (SLU),Sweden,20.08,103,2020,0.06522496279644112
498,Utah State University (USU),United States of America (USA),20.04,92,2020,0.058259190070607605
499,Polytechnic University of Milan,Italy,19.95,97,2020,0.061425450400531934
500,Renmin University of China (RUC),China,19.91,63,2020,0.03989488015704651
