World Rank,Institution,Share,Count,Year,Publication share,Country
116,Catholic University of Leuven (KU Leuven),112.35,401.0,2021,0.25345578429079785,Belgium
117,Indiana University (IU),112.19,391.0,2021,0.24713519116633903,United States of America (USA)
118,Rice University,112.12,403.0,2021,0.25471990291568963,United States of America (USA)
119,Boston University (BU),112.01,545.0,2021,0.3444723252830046,United States of America (USA)
120,Kyushu University,111.5,340.0,2021,0.2149001662315992,Japan
121,The University of Melbourne (UniMelb),111.26,575.0,2021,0.36343410465638093,Australia
122,East China University of Science and Technology (ECUST),108.51,268.0,2021,0.16939189573549582,China
123,University of Groningen (RUG),106.91,411.0,2021,0.25977637741525667,Netherlands
124,Sorbonne University,106.14,1115.0,2021,0.7047461333771561,France
125,University of Göttingen,103.94,376.0,2021,0.23765430147965086,Germany
126,University of Erlangen-Nuremberg (FAU),103.91,310.0,2021,0.19593838685822276,Germany
127,Zhengzhou University (ZZU),102.93,419.0,2021,0.26483285191482364,China
128,"University of California, Riverside (UCR)",102.73,320.0,2021,0.20225897998268158,United States of America (USA)
129,University of Alberta (U of A),100.7,322.0,2021,0.20352309860757334,Canada
130,Free University of Berlin (FU Berlin),99.57,588.0,2021,0.3716508757181774,Germany
131,National Taiwan University (NTU),99.21,366.0,2021,0.23133370835519204,Taiwan
132,University of Basel (UB),98.28,328.0,2021,0.20731545448224858,Switzerland
133,RWTH Aachen University (RWTH Aachen),97.84,401.0,2021,0.25345578429079785,Germany
134,Karolinska Institute (KI),95.86,421.0,2021,0.2660969705397154,Sweden
135,Yonsei University,95.77,316.0,2021,0.19973074273289806,South Korea
136,The University of Hong Kong (HKU),95.03,422.0,2021,0.26672902985216135,China
137,TU Dresden,94.45,444.0,2021,0.2806343347259707,Germany
138,University of Virginia (UVA),94.15,337.0,2021,0.21300398829426156,United States of America (USA)
139,City University of Hong Kong (CityU),93.52,315.0,2021,0.19909868342045217,China
140,Nanjing Tech University (NanjingTech),93.02,184.0,2021,0.11629891349004191,China
141,The Chinese University of Hong Kong (CUHK),92.48,380.0,2021,0.24018253872943435,China
142,Dalian University of Technology (DUT),92.06,201.0,2021,0.12704392180162188,China
143,Stockholm University,91.67,497.0,2021,0.3141334782856023,Sweden
144,Aarhus University (AU),91.1,303.0,2021,0.19151397167110162,Denmark
145,Pohang University of Science and Technology (POSTECH),90.92,262.0,2021,0.16559953986082054,South Korea
146,Tel Aviv University (TAU),90.86,318.0,2021,0.20099486135778982,Israel
147,Ulsan National Institute of Science and Technology (UNIST),90.69,221.0,2021,0.13968510805053946,South Korea
148,Brown University,90.49,305.0,2021,0.19277809029599338,United States of America (USA)
149,State University of New York at Stony Brook (SUNY Stony Brook),89.87,377.0,2021,0.23828636079209672,United States of America (USA)
150,Delft University of Technology (TU Delft),89.81,266.0,2021,0.16812777711060406,Netherlands
151,Central South University (CSU),88.89,274.0,2021,0.1731842516101711,China
152,Australian National University (ANU),88.75,332.0,2021,0.20984369173203213,Australia
153,University of Tübingen (Uni Tübingen),88.06,367.0,2021,0.2319657676676379,Germany
154,University of Freiburg (Uni Freiburg),87.46,295.0,2021,0.18645749717153456,Germany
155,Baylor College of Medicine (BCM),87.3,357.0,2021,0.22564517454317914,United States of America (USA)
156,Michigan State University (MSU),86.72,396.0,2021,0.25029548772856847,United States of America (USA)
157,Leiden University,86.62,362.0,2021,0.22880547110540853,Netherlands
158,King's College London (KCL),86.2,417.0,2021,0.2635687332899319,United Kingdom (UK)
159,Lund University (LU),85.86,373.0,2021,0.2357581235423132,Sweden
160,Shenzhen University (SZU),85.31,269.0,2021,0.17002395504794168,China
161,Beijing Institute of Technology (BIT),84.94,210.0,2021,0.13273245561363478,China
162,North Carolina State University (NCSU),84.77,281.0,2021,0.17760866679729226,United States of America (USA)
163,Southeast University (SEU),83.88,210.0,2021,0.13273245561363478,China
164,The Rockefeller University,83.82,243.0,2021,0.1535904129243488,United States of America (USA)
165,University of Leeds,82.93,297.0,2021,0.18772161579642632,United Kingdom (UK)
166,University of Massachusetts Amherst (UMass Amherst),82.56,293.0,2021,0.1851933785466428,United States of America (USA)
167,University of Illinois at Chicago (UIC),82.52,300.0,2021,0.18961779373376397,United States of America (USA)
168,Virginia Polytechnic Institute and State University (Virginia Tech),82.03,230.0,2021,0.14537364186255236,United States of America (USA)
169,"Icahn School of Medicine at Mount Sinai (ISMMS), MSHS",81.88,374.0,2021,0.2363901828547591,United States of America (USA)
170,University of Paris,81.03,858.0,2021,0.5423068900785649,France
171,Durham University,81.03,268.0,2021,0.16939189573549582,United Kingdom (UK)
172,Ghent University (UGent),80.63,320.0,2021,0.20225897998268158,Belgium
173,Technical University of Denmark (DTU),79.97,283.0,2021,0.17887278542218402,Denmark
174,University of Hamburg (UHH),79.71,437.0,2021,0.27620991953884955,Germany
175,University of Rochester (UR),79.49,269.0,2021,0.17002395504794168,United States of America (USA)
176,Colorado State University,79.17,263.0,2021,0.16623159917326644,United States of America (USA)
177,Beijing University of Chemical Technology (BUCT),78.79,192.0,2021,0.12135538798960895,China
178,University of Barcelona (UB),77.66,416.0,2021,0.26293667397748605,Spain
179,China University of Geosciences (CUG),76.81,218.0,2021,0.1377889301132018,China
180,Indian Institute of Science (IISc),76.59,192.0,2021,0.12135538798960895,India
181,Southwest University (SWU),76.58,120.0,2021,0.07584711749350559,China
182,Beihang University (BUAA),76.54,352.0,2021,0.2224848779809497,China
183,University of Southampton (Soton),76.43,335.0,2021,0.21173986966936978,United Kingdom (UK)
184,Johannes Gutenberg University Mainz (JGU),76.24,363.0,2021,0.22943753041785442,Germany
185,University of Vienna,76.22,303.0,2021,0.19151397167110162,Austria
186,The University of Texas MD Anderson Cancer Center,76.16,329.0,2021,0.2079475137946945,United States of America (USA)
187,Jinan University (JNU),75.97,200.0,2021,0.126411862489176,China
188,University of Amsterdam (UvA),75.84,584.0,2021,0.3691226384683939,Netherlands
189,Radboud University Nijmegen (RU),75.33,498.0,2021,0.3147655375980482,Netherlands
190,University of Oslo (UiO),75.3,352.0,2021,0.2224848779809497,Norway
191,University of Bern (UniBE),75.28,340.0,2021,0.2149001662315992,Switzerland
192,Goethe University Frankfurt (GU),75.26,291.0,2021,0.18392925992175108,Germany
193,The University of Sydney (USYD),75.01,377.0,2021,0.23828636079209672,Australia
194,Korea University,74.56,316.0,2021,0.19973074273289806,South Korea
195,Iowa State University,74.47,230.0,2021,0.14537364186255236,United States of America (USA)
196,The University of Warwick (Warwick),74.31,334.0,2021,0.2111078103569239,United Kingdom (UK)
197,Chongqing University (CQU),74.09,171.0,2021,0.10808214242824547,China
198,Sungkyunkwan University (SKKU),73.37,280.0,2021,0.17697660748484637,South Korea
199,"University of California, Santa Cruz (UCSC)",73.1,342.0,2021,0.21616428485649095,United States of America (USA)
200,University of Glasgow,73.0,407.0,2021,0.25724814016547315,United Kingdom (UK)
201,Shandong Normal University (SDNU),72.58,141.0,2021,0.08912036305486906,China
202,Florida State University (FSU),72.14,395.0,2021,0.24966342841612255,United States of America (USA)
203,University of Waterloo,71.42,185.0,2021,0.11693097280248779,Canada
204,University of Cincinnati (UC),70.96,250.0,2021,0.15801482811147,United States of America (USA)
205,ShanghaiTech University,70.26,280.0,2021,0.17697660748484637,China
206,University of Lausanne (UNIL),70.18,242.0,2021,0.15295835361190294,Switzerland
207,University of Regensburg (UR),69.98,174.0,2021,0.10997832036558311,Germany
208,Autonomous University of Madrid (UAM),69.51,389.0,2021,0.2458710725414473,Spain
209,Carnegie Mellon University (CMU),68.89,267.0,2021,0.16875983642304992,United States of America (USA)
210,Humboldt University of Berlin (HU Berlin),68.42,568.0,2021,0.35900968946925976,Germany
211,Queen Mary University of London (QMUL),68.42,303.0,2021,0.19151397167110162,United Kingdom (UK)
212,University of Bonn (Uni Bonn),68.34,332.0,2021,0.20984369173203213,Germany
213,University of Oregon (UO),66.57,194.0,2021,0.1226195066145007,United States of America (USA)
214,The University of Sheffield,66.23,270.0,2021,0.17065601436038758,United Kingdom (UK)
215,University of Cologne (UoC),65.86,268.0,2021,0.16939189573549582,Germany
216,University of Connecticut (UConn),65.83,216.0,2021,0.13652481148831005,United States of America (USA)
217,Eindhoven University of Technology (TU/e),65.48,158.0,2021,0.09986537136644903,Netherlands
218,University of Helsinki,64.71,406.0,2021,0.25661608085302723,Finland
219,Chalmers University of Technology (Chalmers),64.7,200.0,2021,0.126411862489176,Sweden
220,University of Delaware (UD),64.15,177.0,2021,0.11187449830292073,United States of America (USA)
221,University of Science and Technology Beijing (USTB),64.11,167.0,2021,0.10555390517846194,China
222,The University of Nottingham (UoN),63.62,233.0,2021,0.14726981979989,United Kingdom (UK)
223,Technische Universität Berlin (TU Berlin),63.47,210.0,2021,0.13273245561363478,Germany
224,University of Calgary (U of C),63.44,179.0,2021,0.1131386169278125,Canada
225,University of Lyon,62.94,454.0,2021,0.28695492785042953,France
226,The University of Iowa (UI),62.9,314.0,2021,0.1984666241080063,United States of America (USA)
227,Université PSL,62.76,729.0,2021,0.4607712387730465,France
228,Case Western Reserve University (CWRU),62.6,210.0,2021,0.13273245561363478,United States of America (USA)
229,University of Exeter,62.04,243.0,2021,0.1535904129243488,United Kingdom (UK)
230,The University of Georgia (UGA),61.84,188.0,2021,0.11882715073982543,United States of America (USA)
231,University of Liverpool,61.53,363.0,2021,0.22943753041785442,United Kingdom (UK)
232,University of Houston (UH),60.95,219.0,2021,0.1384209894256477,United States of America (USA)
233,University of the Basque Country (UPV/EHU),60.71,303.0,2021,0.19151397167110162,Spain
234,University of Paris-Sud (UPSud),60.58,665.0,2021,0.4203194427765101,France
235,KTH Royal Institute of Technology,60.36,411.0,2021,0.25977637741525667,Sweden
236,Fuzhou University (FZU),60.23,122.0,2021,0.07711123611839735,China
237,University of Birmingham (UB),59.96,341.0,2021,0.21553222554404503,United Kingdom (UK)
238,University of Notre Dame (ND),59.83,224.0,2021,0.14158128598787711,United States of America (USA)
239,Shaanxi Normal University (SNNU),59.74,119.0,2021,0.07521505818105971,China
240,The City University of New York (CUNY),59.09,204.0,2021,0.1289400997389595,United States of America (USA)
241,Ruhr University Bochum (RUB),58.63,212.0,2021,0.13399657423852654,Germany
242,Zhejiang University of Technology (ZJUT),58.24,134.0,2021,0.08469594786774791,China
243,The Hong Kong Polytechnic University (PolyU),58.09,223.0,2021,0.14094922667543122,China
244,Northwest University (NWU),57.71,128.0,2021,0.08090359199307262,China
245,Homi Bhabha National Institute (HBNI),57.59,206.0,2021,0.13020421836385127,India
246,University of Ottawa (uOttawa),57.05,182.0,2021,0.11503479486515014,Canada
247,Chinese Academy of Medical Sciences & Peking Union Medical College (CAMS & PUMC),56.76,202.0,2021,0.12767598111406772,China
248,University of São Paulo (USP),56.51,293.0,2021,0.1851933785466428,Brazil
249,University of Montreal (UdeM),56.45,325.0,2021,0.20541927654491096,Canada
250,"University at Buffalo, The State University of New York (SUNY UB)",55.03,154.0,2021,0.0973371341166655,United States of America (USA)
251,University of Valencia (UV),54.99,323.0,2021,0.2041551579200192,Spain
252,Shanghai University (SHU),54.63,139.0,2021,0.08785624442997732,China
253,Tufts University,54.46,249.0,2021,0.1573827687990241,United States of America (USA)
254,University of Strasbourg,54.35,407.0,2021,0.25724814016547315,France
255,University of Hawai'i at Manoa (UH Mānoa),54.25,312.0,2021,0.19720250548311452,United States of America (USA)
256,The University of Tennessee at Knoxville (UTK),54.22,301.0,2021,0.19024985304620987,United States of America (USA)
257,University of Massachusetts Medical School (UMass Medical School),54.17,227.0,2021,0.14347746392521477,United States of America (USA)
258,Washington State University (WSU),53.15,178.0,2021,0.11250655761536663,United States of America (USA)
259,University of Electronic Science and Technology of China (UESTC),52.35,154.0,2021,0.0973371341166655,China
260,Indian Institute of Technology Bombay (IIT Bombay),52.05,124.0,2021,0.0783753547432891,India
261,Oregon State University,51.11,190.0,2021,0.12009126936471717,United States of America (USA)
262,Wageningen University & Research (WUR),50.88,201.0,2021,0.12704392180162188,Netherlands
263,Philipps University of Marburg (Uni Marburg),50.77,143.0,2021,0.09038448167976083,Germany
264,University of Tsukuba,50.62,239.0,2021,0.1510621756745653,Japan
265,University of Miami (UM),50.12,179.0,2021,0.1131386169278125,United States of America (USA)
266,Keio University,49.75,143.0,2021,0.09038448167976083,Japan
267,University of Toulouse,49.58,400.0,2021,0.252823724978352,France
268,University of St Andrews,49.26,198.0,2021,0.12514774386428423,United Kingdom (UK)
269,Oregon Health and Science University (OHSU),49.18,171.0,2021,0.10808214242824547,United States of America (USA)
270,The University of Dublin,49.17,174.0,2021,0.10997832036558311,Ireland
271,Northwestern Polytechnical University (NPU),48.84,181.0,2021,0.11440273555270426,China
272,VU Amsterdam,48.82,456.0,2021,0.2882190464753212,Netherlands
273,University of Gothenburg (GU),48.76,208.0,2021,0.13146833698874302,Sweden
274,Central China Normal University (CCNU),48.31,158.0,2021,0.09986537136644903,China
275,Henan University (HENU),48.27,117.0,2021,0.07395093955616795,China
276,Lomonosov Moscow State University (MSU),48.06,337.0,2021,0.21300398829426156,Russia
277,National Autonomous University of Mexico (UNAM),47.93,205.0,2021,0.12957215905140537,Mexico
278,Northeast Normal University (NENU),47.93,90.0,2021,0.05688533812012919,China
279,University of Kiel (CAU),47.65,195.0,2021,0.12325156592694658,Germany
280,Vienna University of Technology (TU Wien),47.1,206.0,2021,0.13020421836385127,Austria
281,Donghua University (DHU),46.96,106.0,2021,0.06699828711926327,China
282,Dartmouth College,46.91,167.0,2021,0.10555390517846194,United States of America (USA)
283,Friedrich Schiller University Jena (FSU),46.87,234.0,2021,0.1479018791123359,Germany
284,National Tsing Hua University (NTHU),46.82,193.0,2021,0.12198744730205482,Taiwan
285,University of Konstanz,46.7,108.0,2021,0.06826240574415503,Germany
286,University of Padova (UNIPD),46.65,353.0,2021,0.2231169372933956,Italy
287,Cardiff University,46.64,192.0,2021,0.12135538798960895,United Kingdom (UK)
288,Guangdong University of Technology (GDUT),46.44,128.0,2021,0.08090359199307262,China
289,Aix-Marseille University (AMU),46.14,414.0,2021,0.26167255535259426,France
290,University of Bayreuth (UBT),46.13,119.0,2021,0.07521505818105971,Germany
291,University of Montpellier,46.01,394.0,2021,0.24903136910367668,France
292,Nanjing University of Science and Technology (NUST),45.98,107.0,2021,0.06763034643170916,China
293,China Agricultural University (CAU),45.27,114.0,2021,0.0720547616188303,China
294,Ben-Gurion University of the Negev (BGU),45.11,146.0,2021,0.09228065961709847,Israel
295,University of Colorado Anschutz Medical Campus (CU Anschutz),45.02,165.0,2021,0.10428978655357019,United States of America (USA)
296,Leibniz University Hannover (LUH),44.5,120.0,2021,0.07584711749350559,Germany
297,The University of Texas at Dallas (UT Dallas),44.21,159.0,2021,0.10049743067889491,United States of America (USA)
298,Newcastle University,43.91,196.0,2021,0.12388362523939246,United Kingdom (UK)
299,The University of Western Australia (UWA),43.87,246.0,2021,0.15548659086168645,Australia
300,Nanjing Normal University (NNU),43.79,151.0,2021,0.09544095617932787,China
301,Anhui University (AHU),43.59,116.0,2021,0.07331888024372207,China
302,Wuhan University of Technology (WUT),43.59,101.0,2021,0.06383799055703386,China
303,Western University (UWO),43.29,121.0,2021,0.07647917680595147,Canada
304,Norwegian University of Science and Technology (NTNU),43.23,171.0,2021,0.10808214242824547,Norway
305,Hanyang University (HYU),43.08,187.0,2021,0.11819509142737955,South Korea
306,The University of Kansas (KU),43.01,214.0,2021,0.13526069286341832,United States of America (USA)
307,Charles University (CU),42.85,300.0,2021,0.18961779373376397,Czech Republic
308,Catholic University of Louvain (UCLouvain),42.63,193.0,2021,0.12198744730205482,Belgium
309,University of Lisbon (ULISBOA),42.15,240.0,2021,0.15169423498701118,Portugal
310,South China Normal University (SCNU),41.92,159.0,2021,0.10049743067889491,China
311,Okinawa Institute of Science and Technology Graduate University (OIST),41.79,107.0,2021,0.06763034643170916,Japan
312,University of Nebraska-Lincoln (UNL),41.75,195.0,2021,0.12325156592694658,United States of America (USA)
313,University of South Florida (USF),41.74,155.0,2021,0.09796919342911138,United States of America (USA)
314,Complutense University of Madrid (UCM),41.67,222.0,2021,0.14031716736298536,Spain
315,The University of Adelaide (Adelaide Uni),41.44,238.0,2021,0.15043011636211942,Australia
316,Northeastern University (NEU),41.43,204.0,2021,0.1289400997389595,United States of America (USA)
317,The University of Oklahoma (OU),41.3,233.0,2021,0.14726981979989,United States of America (USA)
318,Indian Institute of Science Education and Research Kolkata (IISER Kolkata),41.05,62.0,2021,0.03918767737164455,India
319,McMaster University,40.81,112.0,2021,0.07079064299393856,Canada
320,Nanchang University (NCU),40.58,94.0,2021,0.059413575369912715,China
321,Shanxi University (SXU),40.48,155.0,2021,0.09796919342911138,China
322,China Pharmaceutical University (CPU),40.31,72.0,2021,0.045508270496103356,China
323,Yangzhou University (YZU),40.18,97.0,2021,0.06130975330725035,China
324,National Yang Ming Chiao Tung University (NYCU),40.1,131.0,2021,0.08279976993041027,Taiwan
325,University of Warsaw (UW),39.94,202.0,2021,0.12767598111406772,Poland
326,Jiangnan University,39.67,78.0,2021,0.04930062637077863,China
327,Heinrich Heine University Düsseldorf (HHU),38.96,152.0,2021,0.09607301549177376,Germany
328,University of Missouri (Mizzou),38.72,145.0,2021,0.09164860030465259,United States of America (USA)
329,University of Duisburg-Essen (UDE),38.65,140.0,2021,0.08848830374242318,Germany
330,University of Florence (UNIFI),38.16,233.0,2021,0.14726981979989,Italy
331,Brandeis University,38.14,126.0,2021,0.07963947336818088,United States of America (USA)
332,Grenoble Alpes University (UGA),38.03,532.0,2021,0.3362555542212081,France
333,Albert Einstein College of Medicine (Einstein),37.67,140.0,2021,0.08848830374242318,United States of America (USA)
334,Aalto University,37.62,232.0,2021,0.14663776048744415,Finland
335,University of Stuttgart,37.49,129.0,2021,0.08153565130551851,Germany
336,Jagiellonian University (UJ),37.39,167.0,2021,0.10555390517846194,Poland
337,University of Bordeaux,37.37,279.0,2021,0.1763445481724005,France
338,Nanjing University of Information Science and Technology (NUIST),37.32,165.0,2021,0.10428978655357019,China
339,Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR),37.28,59.0,2021,0.037291499434306916,India
340,Linköping University (LiU),36.78,113.0,2021,0.07142270230638444,Sweden
