World Rank,Institution,Country,Share,Count,Year,Publication share
372,The University of Texas Health Science Center at Houston (UTHealth),United States of America (USA),25.67,133,2016,0.10306801714183864
373,Pusan National University (PNU),South Korea,25.62,93,2016,0.07207011724955634
374,Central South University (CSU),China,25.56,79,2016,0.061220852287257536
375,Technical University Braunschweig (TU Braunschweig),Germany,25.55,68,2016,0.052696429816879914
376,Umeå University (UMU),Sweden,25.52,98,2016,0.07594485473609162
377,University of Naples Federico II (UNINA),Italy,25.51,238,2016,0.18443750435907966
378,Nanjing University of Science and Technology (NUST),China,25.51,58,2016,0.04494695484380933
379,Northeast Normal University (NENU),China,25.5,44,2016,0.03409768988151053
380,University of Central Florida (UCF),United States of America (USA),25.44,69,2016,0.05347137731418697
381,The University of Texas at San Antonio (UTSA),United States of America (USA),25.07,62,2016,0.048046744833037565
382,University of Victoria (UVic),Canada,25.03,170,2016,0.13174107454219977
383,Medical University of South Carolina (MUSC),United States of America (USA),25.0,69,2016,0.05347137731418697
384,Royal Melbourne Institute of Technology (RMIT University),Australia,24.87,71,2016,0.05502127230880108
385,University of Pisa (UNIPI),Italy,24.75,250,2016,0.19373687432676437
386,Martin Luther University Halle-Wittenberg (MLU),Germany,24.63,101,2016,0.0782696972280128
387,University of Granada (UGR),Spain,24.52,145,2016,0.11236738710952332
388,University of Milan (UNIMI),Italy,24.46,230,2016,0.17823792438062322
389,University of Leicester,United Kingdom (UK),24.4,99,2016,0.07671980223339868
390,Kyung Hee University (KHU),South Korea,24.23,63,2016,0.04882169233034462
391,National Cheng Kung University (NCKU),Taiwan,24.2,66,2016,0.0511465348222658
392,"University of Nevada, Reno (UNR)",United States of America (USA),24.14,63,2016,0.04882169233034462
393,University of Milano-Bicocca (UNIMIB),Italy,24.08,166,2016,0.12864128455297152
394,École Normale Supérieure (ENS Paris),France,24.01,294,2016,0.22783456420827486
395,Zhengzhou University (ZZU),China,23.99,58,2016,0.04494695484380933
396,Erasmus University Rotterdam (EUR),Netherlands,23.98,166,2016,0.12864128455297152
397,Norwegian University of Science and Technology (NTNU),Norway,23.95,86,2016,0.06664548476840694
398,Autonomous University of Barcelona (UAB),Spain,23.93,205,2016,0.15886423694794677
399,University of Reading,United Kingdom (UK),23.86,95,2016,0.07362001224417046
400,Dalhousie University,Canada,23.84,69,2016,0.05347137731418697
401,Laval University (UL),Canada,23.65,127,2016,0.0984183321579963
402,Scuola Internazionale Superiore di Studi Avanzati (SISSA),Italy,23.58,105,2016,0.08136948721724103
403,University of Arkansas (UARK),United States of America (USA),23.44,68,2016,0.052696429816879914
404,Texas Tech University (TTU),United States of America (USA),23.42,127,2016,0.0984183321579963
405,Indian Institute of Science Education and Research Bhopal (IISER Bhopal),India,23.39,46,2016,0.03564758487612464
406,Wuhan University of Technology (WUT),China,23.26,48,2016,0.03719747987073876
407,Georgetown University,United States of America (USA),22.67,64,2016,0.049596639827651674
408,Hefei University of Technology (HFUT),China,22.49,47,2016,0.0364225323734317
409,Syracuse University,United States of America (USA),22.46,99,2016,0.07671980223339868
410,University of Zaragoza (Unizar),Spain,22.35,115,2016,0.08911896219031161
411,Heriot-Watt University,United Kingdom (UK),22.15,67,2016,0.05192148231957285
412,University of Wrocław (UWr),Poland,22.03,59,2016,0.04572190234111639
413,University College Dublin (UCD),Ireland,21.85,170,2016,0.13174107454219977
414,Lancaster University,United Kingdom (UK),21.77,177,2016,0.13716570702334915
415,Griffith University,Australia,21.72,63,2016,0.04882169233034462
416,Hong Kong Baptist University (HKBU),China,21.69,95,2016,0.07362001224417046
417,Beijing University of Technology (BJUT),China,21.27,62,2016,0.048046744833037565
418,Georgia State University (GSU),United States of America (USA),21.25,72,2016,0.05579621980610814
419,Polytechnic University of Milan,Italy,21.1,83,2016,0.06432064227648576
420,Nanjing University of Posts and Telecommunications (NUPT),China,21.06,55,2016,0.04262211235188816
421,Shaanxi Normal University (SNNU),China,21.05,37,2016,0.028673057400361125
422,University of Siegen,Germany,21.05,110,2016,0.08524422470377632
423,Nanjing Normal University (NNU),China,20.96,57,2016,0.04417200734650227
424,Tulane University,United States of America (USA),20.95,70,2016,0.05424632481149402
425,Saint Petersburg State University (SPbU),Russia,20.92,103,2016,0.07981959222262691
426,Macquarie University,Australia,20.91,104,2016,0.08059453971993398
427,University of Electronic Science and Technology of China (UESTC),China,20.86,69,2016,0.05347137731418697
428,Academy of Scientific and Innovative Research (AcSIR),India,20.85,67,2016,0.05192148231957285
429,The University of Auckland,New Zealand,20.73,160,2016,0.12399159956912918
430,China Pharmaceutical University (CPU),China,20.72,29,2016,0.022473477421904666
431,University of Guelph,Canada,20.51,154,2016,0.11934191458528684
432,Ocean University of China (OUC),China,20.41,55,2016,0.04262211235188816
433,University of Southern Denmark (SDU),Denmark,20.4,103,2016,0.07981959222262691
434,West Virginia University (WVU),United States of America (USA),20.37,82,2016,0.06354569477917871
435,The University of Toledo (UT),United States of America (USA),20.32,49,2016,0.03797242736804581
436,Henan Normal University,China,20.18,41,2016,0.031772847389589354
437,Giessen University (JLU),Germany,20.17,152,2016,0.11779201959067273
438,Federal University of Rio de Janeiro (UFRJ),Brazil,20.09,169,2016,0.13096612704489272
439,Nagoya Institute of Technology (NITech),Japan,20.02,33,2016,0.0255732674111329
440,Bielefeld University,Germany,20.0,45,2016,0.034872637378817586
441,Lehigh University,United States of America (USA),19.93,41,2016,0.031772847389589354
442,Kent State University,United States of America (USA),19.88,49,2016,0.03797242736804581
443,University of New Hampshire (UNH),United States of America (USA),19.8,118,2016,0.09144380468223277
444,Swansea University,United Kingdom (UK),19.68,52,2016,0.04029726985996699
445,Wake Forest University (WFU),United States of America (USA),19.62,76,2016,0.058896009795336365
446,University of Lille Nord de France,France,19.28,156,2016,0.12089180957990096
447,University of Jyväskylä,Finland,19.03,153,2016,0.1185669670879798
448,Thomas Jefferson University (TJU),United States of America (USA),18.92,46,2016,0.03564758487612464
449,University of Vermont (UVM),United States of America (USA),18.87,51,2016,0.03952232236265993
450,Rovira i Virgili University (URV),Spain,18.83,52,2016,0.04029726985996699
451,Tokyo University of Science (TUS),Japan,18.82,65,2016,0.05037158732495873
452,Pompeu Fabra University (UPF),Spain,18.81,92,2016,0.07129516975224928
453,Shanxi University (SXU),China,18.59,59,2016,0.04572190234111639
454,Grenoble Institute of Technology (Grenoble INP),France,18.56,299,2016,0.2317093016948102
455,Jinan University (JNU),China,18.47,56,2016,0.043397059849195216
456,Renmin University of China (RUC),China,18.46,53,2016,0.041072217357274045
457,Graz University of Technology (TU Graz),Austria,18.36,65,2016,0.05037158732495873
458,University of Bergen (UIB),Norway,18.21,205,2016,0.15886423694794677
459,University of East Anglia (UEA),United Kingdom (UK),18.2,82,2016,0.06354569477917871
460,National Taiwan Normal University (NTNU),Taiwan,18.15,32,2016,0.024798319913825837
461,The University of Texas at Arlington (UTA),United States of America (USA),18.1,111,2016,0.08601917220108338
462,University of La Laguna (ULL),Spain,18.08,102,2016,0.07904464472531986
463,University of Fribourg (UNIFR),Switzerland,18.01,77,2016,0.05967095729264342
464,Colorado School of Mines,United States of America (USA),17.88,59,2016,0.04572190234111639
465,Masaryk University (MU),Czech Republic,17.82,77,2016,0.05967095729264342
466,The University of Texas Health Science Center at San Antonio (UT Health San Antonio),United States of America (USA),17.69,44,2016,0.03409768988151053
467,Huazhong Agricultural University (HZAU),China,17.69,48,2016,0.03719747987073876
468,Northwest A&F University (NWAFU),China,17.58,38,2016,0.029448004897668183
469,University of Turku (UTU),Finland,17.53,93,2016,0.07207011724955634
470,Okinawa Institute of Science and Technology Graduate University (OIST),Japan,17.47,45,2016,0.034872637378817586
471,Tokyo University of Agriculture and Technology (TUAT),Japan,17.44,38,2016,0.029448004897668183
472,University of Buenos Aires (UBA),Argentina,17.4,139,2016,0.10771770212568098
473,Osaka Prefecture University (OPU),Japan,17.4,33,2016,0.0255732674111329
474,University of Manitoba,Canada,17.33,144,2016,0.11159243961221628
475,Army Medical University,China,17.26,68,2016,0.052696429816879914
476,University of Hyderabad (UoH),India,17.18,27,2016,0.020923582427290553
