2018,Institution,Country,"Share 2017","Share 2018","Count 2018","Change Adjusted in Share 2017-2018"
376,"University of Milan (UNIMI)",Italy,35.23,29.07,240,-22.1
377,"Technical University of Darmstadt (TU Darmstadt)",Germany,30.45,28.87,117,-10.5
378,"National Institute of Applied Sciences (INSA)",France,29.36,28.71,285,-7.7
379,"University of Fribourg (UNIFR)",Switzerland,23.96,28.67,100,12.9
380,"Saarland University (Saar-Uni)",Germany,17.39,28.47,88,54.5
381,"Henan University (HENU)",China,17.65,28.3,55,51.4
382,"Scuola Internazionale Superiore di Studi Avanzati (SISSA)",Italy,27.08,28.13,94,-2.0
383,"Queensland University of Technology (QUT)",Australia,12.83,27.97,129,105.8
384,"Royal Melbourne Institute of Technology (RMIT University)",Australia,18.59,27.75,99,40.9
385,"Chiba University",Japan,20.38,27.39,89,26.8
386,"Umeå University (UMU)",Sweden,29.12,27.37,116,-11.3
387,"Anhui University (AHU)",China,14.71,27.21,72,74.5
388,"National Cheng Kung University (NCKU)",Taiwan,26.44,27.2,85,-2.9
389,"University of Granada (UGR)",Spain,22.38,26.73,162,12.7
390,"Shanxi University (SXU)",China,27,26.57,97,-7.1
391,"École Normale Supérieure (ENS Paris)",France,26.23,26.57,333,-4.4
392,"Waseda University",Japan,32.47,26.56,138,-22.8
393,"Zhejiang University of Technology (ZJUT)",China,20.6,26.51,73,21.5
394,"University of Wollongong (UOW)",Australia,32.84,26.48,110,-23.9
395,"Henan Normal University",China,18.51,26.3,64,34.1
396,"Indian Institute of Technology Kharagpur (IIT Kharagpur)",India,24.85,26.28,40,-0.2
397,"The University of Auckland","New Zealand",27.49,25.82,206,-11.4
398,"University of Otago","New Zealand",31.54,25.79,134,-22.8
399,"Erasmus University Rotterdam (EUR)",Netherlands,23.04,25.73,161,5.4
400,"National Chiao Tung University (NCTU)",Taiwan,33.77,25.73,78,-28.1
401,"Ocean University of China (OUC)",China,29.37,25.58,135,-17.8
402,"University of Milano-Bicocca (UNIMIB)",Italy,25.73,25.57,232,-6.2
403,"University of Bergen (UIB)",Norway,24.05,25.57,225,0.3
404,"Nanchang University (NCU)",China,17.22,25.22,87,38.3
405,"University of Naples Federico II (UNINA)",Italy,22.72,25.15,306,4.5
406,"Northwestern Polytechnical University (NPU)",China,20.24,24.82,116,15.7
407,"Graz University of Technology (TU Graz)",Austria,22.87,24.76,84,2.2
408,"Donghua University (DHU)",China,14.38,24.71,61,62.2
409,"University of Nevada, Reno (UNR)","United States of America (USA)",28.21,24.68,70,-17.4
410,"The University of Texas at San Antonio (UTSA)","United States of America (USA)",22.76,24.68,66,2.4
411,"Hunan Normal University (HUNNU)",China,12.35,24.66,75,88.5
412,"Northeastern University (NEU)",China,6.49,24.63,46,258.1
413,"Clemson University","United States of America (USA)",25.36,24.59,69,-8.5
414,"Jiangsu Normal University (JSNU)",China,18.17,24.47,35,27.1
415,"Kobe University",Japan,28.13,24.31,131,-18.4
416,"University of Pisa (UNIPI)",Italy,12.34,24.2,303,85.2
417,"University of Potsdam",Germany,21.94,24.17,145,4.0
418,"Lancaster University","United Kingdom (UK)",26.21,24.14,189,-13.1
419,"University of Technology Sydney (UTS)",Australia,14.95,24.08,79,52.1
420,"Kyung Hee University (KHU)","South Korea",25.02,23.96,94,-9.6
421,"Ewha Womans University (Ewha)","South Korea",29.66,23.96,76,-23.8
422,"State University of New York at Albany (SUNY Albany)","United States of America (USA)",20.42,23.94,137,10.7
423,"Georgia State University (GSU)","United States of America (USA)",25.45,23.81,82,-11.7
424,"State University of Campinas (UNICAMP)",Brazil,14.59,23.79,162,53.9
425,"Institute for Advanced Study (IAS)","United States of America (USA)",20.86,23.76,73,7.5
426,"Swedish University of Agricultural Sciences (SLU)",Sweden,19.94,23.76,96,12.5
427,"Beijing University of Technology (BJUT)",China,26.7,23.68,85,-16.3
428,"Huaqiao University (HQU)",China,13.41,23.67,32,66.6
429,"Nanjing Agricultural University (NAU)",China,20.72,23.66,64,7.7
430,"Syracuse University","United States of America (USA)",16.23,23.64,116,37.5
431,"Institute of Science and Technology Austria (IST Austria)",Austria,24.87,23.61,55,-10.4
432,"Martin Luther University Halle-Wittenberg (MLU)",Germany,29.21,23.49,98,-24.1
433,"Tulane University","United States of America (USA)",15.79,23.47,79,40.3
434,"Changzhou University (CZU)",China,27.14,23.46,38,-18.4
435,"Nanjing Medical University (NJMU)",China,16.58,23.44,77,33.5
436,"Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR)",India,25.53,23.42,34,-13.4
437,"Saint Petersburg State University (SPbU)",Russia,17.86,23.4,94,23.6
438,"The University of Texas Health Science Center at Houston (UTHealth)","United States of America (USA)",31.14,23.35,139,-29.2
439,"Jiangnan University",China,14.52,23.32,64,51.6
440,"Dalhousie University",Canada,31.94,23.32,75,-31.1
441,"University of Jinan (UJN)",China,19.35,23.19,54,13.1
442,"University of Saskatchewan (U of S)",Canada,25.18,23.19,83,-13.1
443,"Tokyo University of Science (TUS)",Japan,18.96,23.11,73,15.0
444,"University of Sherbrooke (USherbrooke)",Canada,40.37,23.1,89,-46.0
445,"University of Southern Denmark (SDU)",Denmark,21.86,22.82,124,-1.5
446,"Texas Tech University (TTU)","United States of America (USA)",19.43,22.6,181,9.8
447,"University of Oldenburg",Germany,14.5,22.53,65,46.6
448,"Pusan National University (PNU)","South Korea",18.39,22.42,97,15.1
449,"Bielefeld University",Germany,18.9,22.3,51,11.4
450,"University of Liège (ULg)",Belgium,26.7,22.21,93,-21.5
451,"Nanjing University of Posts and Telecommunications (NUPT)",China,16.18,21.94,84,28.0
452,"University of Leicester","United Kingdom (UK)",18.84,21.94,96,9.9
453,"Masaryk University (MU)","Czech Republic",22.15,21.83,87,-7.0
454,"University of East Anglia (UEA)","United Kingdom (UK)",33.96,21.78,102,-39.5
455,"Queen's University Belfast (QUB)","United Kingdom (UK)",25.35,21.71,92,-19.2
456,"Yangzhou University (YZU)",China,10.65,21.7,61,92.3
457,"Nanjing University of Information Science and Technology (NUIST)",China,18.67,21.5,95,8.7
458,"University of Jyväskylä",Finland,19.65,21.46,196,3.1
459,"Medical University of Vienna (MUW)",Austria,17.33,21.12,125,15.0
460,"Zhejiang Normal University (ZJNU)",China,16,21.11,60,24.5
461,"Hong Kong Baptist University (HKBU)",China,16.87,21,88,17.5
462,"Indian Institute of Technology Guwahati (IIT Guwahati)",India,23.19,21,41,-14.5
463,"Tianjin University of Technology (TJUT)",China,11.16,20.95,62,77.1
464,"Griffith University",Australia,24.6,20.76,94,-20.3
465,"University of Tasmania (UTAS)",Australia,22.34,20.56,112,-13.2
466,"Indian Institute of Science Education and Research Kolkata (IISER Kolkata)",India,18.34,20.54,37,5.7
467,"Academy of Scientific and Innovative Research (AcSIR)",India,19.16,20.51,71,1.0
468,"University of Siegen",Germany,19.72,20.44,113,-2.2
469,"Tampere University",Finland,11.34,20.43,218,70.0
470,"University of Nevada, Las Vegas (UNLV)","United States of America (USA)",15.03,20.36,68,27.8
471,"West Virginia University (WVU)","United States of America (USA)",25.51,20.26,65,-25.1
472,"Daegu Gyeongbuk Institute of Science and Technology (DGIST)","South Korea",14.38,20.18,54,32.5
473,"University of Reading","United Kingdom (UK)",20.45,20.06,79,-7.4
474,"Qingdao University of Science and Technology (QUST)",China,9.1,19.86,49,106.0
475,"Technical University Braunschweig (TU Braunschweig)",Germany,28.64,19.78,63,-34.8
476,"Qufu Normal University (QFNU)",China,12.66,19.56,36,45.8
477,"Chung-Ang University (CAU)","South Korea",20.58,19.37,44,-11.2
478,"University of Porto (UP)",Portugal,17.57,19.18,142,3.0
479,"Xiangtan University (XTU)",China,14.2,19.12,45,27.0
480,"University of Graz (Uni Graz)",Austria,20.26,18.94,63,-11.8
481,"Northwest A&F University (NWAFU)",China,12.4,18.89,44,43.8
482,"The University of Texas Health Science Center at San Antonio (UT Health San Antonio)","United States of America (USA)",14.75,18.86,65,20.7
483,"Tokyo University of Agriculture and Technology (TUAT)",Japan,20.17,18.83,39,-11.9
484,"University of Vermont (UVM)","United States of America (USA)",21.54,18.8,63,-17.6
485,"Montana State University","United States of America (USA)",19.12,18.63,81,-8.0
486,"Colorado School of Mines","United States of America (USA)",14.37,18.61,63,22.2
487,"Auburn University","United States of America (USA)",14.98,18.48,60,16.4
488,"Swansea University","United Kingdom (UK)",21.2,18.47,62,-17.8
489,"Federal University of Rio de Janeiro (UFRJ)",Brazil,19.37,18.47,159,-10.0
490,"Hebei University (HBU)",China,14,18.42,40,24.1
491,"The George Washington University (GW)","United States of America (USA)",16.86,18.41,74,3.1
492,"China University of Geosciences, Beijing (CUGB)",China,12.26,18.41,57,41.7
493,"Ajou University (AJOU)","South Korea",17.17,18.37,48,1.0
494,"Wake Forest University (WFU)","United States of America (USA)",8.93,18.3,66,93.3
495,"University of Zaragoza (Unizar)",Spain,15.96,18.21,106,7.7
496,"Moscow Institute of Physics and Technology - State University (MIPT)",Russia,11.39,18.18,232,50.6
497,"University of Wyoming","United States of America (USA)",19.49,18.16,67,-12.0
498,"University College Dublin (UCD)",Ireland,20.77,18.1,222,-17.8
499,"University of Turku (UTU)",Finland,13.04,18.04,112,30.6
500,"The Graduate University for Advanced Studies (Sokendai)",Japan,15.83,17.98,124,7.2
