#,Institution,"Share 2020","Share 2021","Count 2021","Change in Adjusted Share 2020-2021"
385,"TU Dortmund University, Germany",35.12,30.50,157,-16.2
386,"Kyung Hee University (KHU), South Korea",24.17,30.48,158,21.6
387,"Beijing University of Technology (BJUT), China",32.83,30.41,114,-10.7
388,"Lancaster University, United Kingdom (UK)",27.19,30.30,173,7.4
389,"Hefei University of Technology (HFUT), China",34.69,30.10,67,-16.3
390,"Indian Institute of Science Education and Research Pune (IISER Pune), India",25.53,30.04,101,13.5
391,"University of Central Florida (UCF), United States of America (USA)",30.36,30.00,74,-4.7
392,"Boston College (BC), United States of America (USA)",42.07,29.28,79,-32.9
393,"University of Sussex, United Kingdom (UK)",23.99,29.22,129,17.4
394,"University of Bergen (UIB), Norway",33.84,29.21,246,-16.8
395,"Chiba University, Japan",21.27,29.10,106,31.9
396,"Laval University (UL), Canada",33.57,29.09,141,-16.5
397,"University of Milano-Bicocca (UNIMIB), Italy",34.74,29.07,218,-19.3
398,"Queen's University, Canada",23.21,29.06,94,20.8
399,"Huazhong Agricultural University (HZAU), China",27.14,28.78,81,2.3
400,"Macquarie University, Australia",29.37,28.75,141,-5.6
401,"Wenzhou University (WZU), China",14.29,28.38,65,91.6
402,"Royal Melbourne Institute of Technology (RMIT University), Australia",24.16,28.26,104,12.8
403,"The University of Alabama at Birmingham (UAB), United States of America (USA)",34.97,28.25,144,-22.1
404,"Tulane University, United States of America (USA)",21.34,28.22,87,27.5
405,"Temple University, United States of America (USA)",43.62,28.21,109,-37.7
406,"Wayne State University, United States of America (USA)",24.76,28.16,156,9.7
407,"Indian Institute of Technology Guwahati (IIT Guwahati), India",34.48,28.11,48,-21.4
408,"Queensland University of Technology (QUT), Australia",25.10,28.10,125,7.9
409,"Institute for Advanced Study (IAS), United States of America (USA)",24.14,28.08,80,12.2
410,"Hebei University (HBU), China",16.82,27.97,62,60.4
411,"University of Otago, New Zealand",32.88,27.92,139,-18.1
412,"Bielefeld University, Germany",20.06,27.89,66,34.1
413,"University of Naples Federico II (UNINA), Italy",26.35,27.57,275,0.9
414,"Southern Medical University (SMU), China",21.93,27.44,96,20.7
415,"West Virginia University (WVU), United States of America (USA)",22.64,27.32,86,16.4
416,"Indian Institute of Technology Madras (IIT Madras), India",42.62,27.06,133,-38.8
417,"Saarland University (Saar-Uni), Germany",27.95,26.86,93,-7.4
418,"National Institute of Applied Sciences (INSA), France",27.51,26.81,267,-6.0
419,"Martin Luther University Halle-Wittenberg (MLU), Germany",24.15,26.81,136,7.0
420,"University of South Carolina - Columbia (SC), United States of America (USA)",51.00,26.74,82,-49.5
421,"Simon Fraser University (SFU), Canada",26.42,26.63,134,-2.8
422,"Qingdao University (QU), China",30.16,26.39,78,-15.6
423,"Queen's University Belfast (QUB), United Kingdom (UK)",27.31,26.30,104,-7.1
424,"Hubei University (HUBU), China",15.99,26.24,61,58.2
425,"University of Nevada, Reno (UNR), United States of America (USA)",23.00,26.23,78,10.0
426,"University of Jinan (UJN), China",44.96,26.20,62,-43.8
427,"Giessen University (JLU), Germany",28.17,26.08,178,-10.7
428,"Erasmus University Rotterdam (EUR), Netherlands",22.94,26.03,163,9.4
429,"University of Strathclyde, United Kingdom (UK)",22.48,25.74,101,10.4
430,"Jiangsu Normal University (JSNU), China",25.70,25.67,51,-3.7
431,"University of Potsdam, Germany",28.35,25.51,154,-13.2
432,"Drexel University, United States of America (USA)",33.07,25.46,106,-25.8
433,"Hong Kong Baptist University (HKBU), China",20.94,25.37,101,16.8
434,"Pusan National University (PNU), South Korea",21.74,25.30,101,12.2
435,"Syracuse University, United States of America (USA)",17.33,25.25,104,40.5
436,"Changzhou University (CZU), China",34.60,25.17,46,-29.9
437,"China University of Geosciences, Beijing (CUGB), China",29.87,25.06,69,-19.1
438,"Autonomous University of Barcelona (UAB), Spain",26.21,25.03,260,-7.9
439,"Nanjing Medical University (NJMU), China",21.99,25.01,103,9.7
440,"Nanjing Agricultural University (NAU), China",38.15,24.97,72,-36.9
441,"Umeå University (UMU), Sweden",22.80,24.78,126,4.8
442,"University of Oviedo (UniOvi), Spain",20.53,24.66,164,15.8
443,"University of Jyväskylä, Finland",19.30,24.56,188,22.7
444,"University of Oldenburg, Germany",11.71,24.55,64,102.1
445,"China University of Petroleum, East China (CUP East China), China",17.11,24.45,51,37.8
446,"National Cheng Kung University (NCKU), Taiwan",19.43,24.01,83,19.1
447,"Saint Petersburg State University (SPbU), Russia",27.26,23.82,102,-15.7
448,"Scuola Internazionale Superiore di Studi Avanzati (SISSA), Italy",29.44,23.77,96,-22.1
449,"University of Pisa (UNIPI), Italy",20.21,23.73,250,13.2
450,"University of Leicester, United Kingdom (UK)",21.17,23.72,113,8.1
451,"University of Turin (UNITO), Italy",21.92,23.33,251,2.6
452,"University of Buenos Aires (UBA), Argentina",16.10,23.29,143,39.5
453,"Guangzhou University (GU), China",14.02,23.22,68,59.7
454,"University of Saskatchewan (U of S), Canada",20.13,23.18,106,11.0
455,"Ewha Womans University (Ewha), South Korea",27.15,23.13,80,-17.8
456,"Army Medical University, China",21.64,23.11,132,3.0
457,"University of Liège (ULg), Belgium",23.22,23.03,104,-4.4
458,"Dalhousie University, Canada",28.10,23.02,100,-21.0
459,"Griffith University, Australia",23.70,23.00,85,-6.4
460,"Indian Institute of Technology Kharagpur (IIT Kharagpur), India",23.76,22.80,36,-7.5
461,"Hohai University (HHU), China",9.97,22.71,56,119.6
462,"Texas Tech University (TTU), United States of America (USA)",16.91,22.63,147,29.1
463,"University of Southern Denmark (SDU), Denmark",20.97,22.47,123,3.3
464,"Swansea University, United Kingdom (UK)",18.16,22.46,84,19.2
465,"Rensselaer Polytechnic Institute (RPI), United States of America (USA)",23.30,22.46,69,-7.1
466,"Moscow Institute of Physics and Technology - State University (MIPT), Russia",15.51,22.19,196,37.9
467,"Chung-Ang University (CAU), South Korea",20.88,22.13,56,2.2
468,"Tokyo Medical and Dental University (TMDU), Japan",10.63,22.04,68,99.9
469,"Skolkovo Institute of Science and Technology (Skoltech), Russia",13.73,22.00,97,54.5
470,"University of Texas Medical Branch (UTMB), United States of America (USA)",17.48,21.95,66,21.0
471,"University of East Anglia (UEA), United Kingdom (UK)",24.58,21.91,108,-14.0
472,"Guangzhou Medical University (GMU), China",16.06,21.88,104,31.3
473,"The George Washington University (GW), United States of America (USA)",18.10,21.87,97,16.5
474,"Colorado School of Mines, United States of America (USA)",13.79,21.86,82,52.9
475,"University College Dublin (UCD), Ireland",14.42,21.84,176,46.0
476,"Tokyo University of Science (TUS), Japan",24.32,21.79,68,-13.6
477,"Auburn University, United States of America (USA)",26.49,21.72,88,-20.9
478,"Masaryk University (MU), Czech Republic",19.26,21.64,118,8.3
479,"Hangzhou Normal University (HZNU), China",25.20,21.54,73,-17.6
480,"University of Fribourg (UNIFR), Switzerland",31.07,21.54,95,-33.2
481,"Zhejiang Sci-Tech University (ZSTU), China",15.50,21.40,46,33.1
482,"University of Iceland, Iceland",15.84,21.21,87,29.1
483,"University of Dundee, United Kingdom (UK)",25.30,21.20,100,-19.2
484,"University of Tasmania (UTAS), Australia",18.08,21.16,124,12.8
485,"The University of Texas Health Science Center at San Antonio (UT Health San Antonio), United States of America (USA)",16.66,21.13,69,22.3
486,"Jiangxi Normal University (JXNU), China",18.64,21.12,53,9.2
487,"ITMO National Research University (ITMO University), Russia",15.51,21.10,63,31.2
488,"University of Granada (UGR), Spain",22.59,21.09,137,-10.0
489,"The University of Texas at San Antonio (UTSA), United States of America (USA)",22.95,21.01,65,-11.7
490,"Huaqiao University (HQU), China",25.08,20.91,35,-19.6
491,"University of Lorraine (UL), France",16.31,20.79,126,22.9
492,"University of Ljubljana, Slovenia",20.27,20.78,134,-1.1
493,"Indian Institute of Science Education and Research Bhopal (IISER Bhopal), India",22.85,20.55,29,-13.3
494,"University of Macau (UM), China",15.33,20.31,85,27.8
495,"Capital Normal University (CNU), China",25.80,20.27,51,-24.3
496,"University of Reading, United Kingdom (UK)",29.83,20.23,95,-34.6
497,"Swedish University of Agricultural Sciences (SLU), Sweden",20.38,20.08,103,-5.0
498,"Medical University of Vienna (MUW), Austria",24.50,19.99,151,-21.3
499,"Utah State University (USU), United States of America (USA)",17.36,19.95,92,10.8
500,"Polytechnic University of Milan, Italy",20.27,19.95,97,-5.1
