Rank,Country,University,P,P(top 50%),PP(top 50%)
577,Australia,La Trobe Univ,1986,1037,52.2
578,Taiwan,Kaohsiung Med Univ,1977,821,41.5
579,United States,Univ Texas - Hlth Sci Ctr - San Antonio,1976,1116,56.5
580,Italy,Univ Campania Luigi Vanvitelli,1970,996,50.6
601,China,Yanshan Univ,1909,882,46.2
602,Italy,Univ Modena & Reggio Emilia,1906,965,50.6
603,Germany,Leibniz Univ Hannover,1904,959,50.4
604,United States,Univ Alabama - Tuscaloosa,1902,942,49.5
605,United States,Rush Univ,1895,1036,54.6
606,Canada,Carleton Univ,1892,903,47.7
607,Austria,Univ Innsbruck,1892,1019,53.8
608,France,Univ Nice Sophia Antipolis,1888,1030,54.6
609,Japan,Kumamoto Univ,1877,783,41.7
610,Italy,Univ Salerno,1873,1004,53.6
611,Australia,Univ West Sydney,1866,987,52.9
612,China,Ningbo Univ,1865,812,43.5
613,Spain,Univ Castilla-La Mancha,1865,901,48.3
614,Argentina,Univ Nal La Plata,1862,721,38.7
615,Canada,Mem Univ Newfoundland,1853,881,47.5
616,United Kingdom,London Sch Econ & Polit Sci,1849,1109,60.0
617,United States,George Mason Univ,1847,950,51.4
618,United Kingdom,Univ Dundee,1846,1116,60.4
619,China,S China Agr Univ,1841,821,44.6
620,United States,Univ Arkansas - Fayetteville,1836,829,45.1
621,Israel,Univ Haifa,1832,767,41.9
622,Finland,Univ Jyväskylä,1830,928,50.7
623,Spain,Univ Vigo,1829,899,49.2
624,South Korea,Kangwon Natl Univ,1816,624,34.4
625,Italy,Univ Cagliari,1815,868,47.9
626,United States,Utah State Univ,1805,895,49.6
627,South Korea,Dongguk Univ,1805,679,37.6
628,China,Univ Jinan,1801,923,51.3
629,Poland,Warsaw Univ Technol,1793,737,41.1
630,Ireland,Natl Univ Ireland - Galway,1781,947,53.2
631,Germany,Univ Bremen,1772,938,52.9
632,China,Nantong Univ,1771,786,44.4
633,United States,Univ Oregon,1756,988,56.3
634,Spain,Univ Malaga,1753,858,48.9
635,Italy,Univ Verona,1753,916,52.3
636,United States,Univ Texas - Med Branch - Galveston,1751,979,55.9
637,United States,Mississippi State Univ,1747,758,43.4
638,United States,Univ Wisconsin - Milwaukee,1744,928,53.2
639,Italy,Univ Trento,1730,959,55.5
640,Norway,UiT Artic Univ Norway,1724,902,52.3
641,United States,Rensselaer Polytech Inst,1723,910,52.8
642,France,Univ Burgundy,1712,916,53.5
643,Brazil,Fed Univ São Carlos,1710,750,43.8
644,India,Univ Calcutta,1701,666,39.2
645,China,Anhui Univ,1700,808,47.5
646,Iran,Shahid Beheshti Univ Med Sci,1696,638,37.6
647,United Kingdom,Swansea Univ,1696,879,51.8
648,China,Sichuan Agr Univ,1689,699,41.4
649,Italy,Univ Calabria,1689,875,51.8
650,Japan,Tokyo Med & Dent Univ,1688,746,44.2
651,China,Henan Univ,1681,671,39.9
652,Japan,Tokyo Univ Sci,1677,605,36.0
653,Germany,Otto von Guericke Univ Magdeburg,1676,868,51.8
654,Italy,Univ Ferrara,1672,809,48.4
655,Germany,Bielefeld Univ,1669,873,52.3
656,Turkey,Ankara Univ,1663,563,33.9
657,France,Univ Clermont-Auvergne,1654,860,52.0
658,Iran,Islamic Azad Univ Sci & Res Tehran,1644,547,33.3
659,Japan,Nagasaki Univ,1643,633,38.6
660,Czech Republic,Palacký Univ Olomouc,1637,717,43.8
661,United States,Univ Nebraska Med Ctr,1636,831,50.8
662,Italy,Univ Siena,1633,770,47.2
663,Italy,Univ Politec Marche,1633,863,52.9
664,Spain,Univ Cordoba,1633,780,47.8
665,Spain,Rovira & Virgili Univ,1630,865,53.1
666,Slovakia,Comenius Univ Bratislava,1630,537,33.0
667,Germany,Univ Bayreuth,1628,884,54.3
668,India,Vellore Inst Technol,1627,712,43.8
669,China,Xiangtan Univ,1626,722,44.4
670,Iran,Shahid Beheshti Univ,1617,716,44.3
671,United States,Univ Arkansas Med Sci - Little Rock,1617,827,51.1
672,China,Shanxi Univ,1612,692,43.0
673,United States,St Louis Univ,1604,742,46.3
674,Hungary,Univ Szeged,1604,616,38.4
675,Brazil,Univ Brasília,1603,624,38.9
676,Canada,Ryerson Univ,1602,809,50.5
