World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score,Year
1,Harvard University,USA,1,2,1,1,1,100,2019
2,Massachusetts Institute of Technology,USA,2,1,10,2,5,96.7,2019
3,Stanford University,USA,3,9,3,3,2,95.2,2019
4,University of Cambridge,United Kingdom,1,4,19,5,11,94.1,2019
5,University of Oxford,United Kingdom,2,10,24,10,4,93.3,2019
6,Columbia University,USA,4,13,12,8,12,92.6,2019
7,Princeton University,USA,5,6,14,6,54,92,2019
8,"University of California, Berkeley",USA,6,5,48,9,6,91.6,2019
9,University of Pennsylvania,USA,7,15,8,30,14,91.1,2019
10,University of Chicago,USA,8,11,18,19,16,90.7,2019
11,California Institute of Technology,USA,9,3,179,4,52,90.4,2019
12,Yale University,USA,10,8,32,12,17,90.1,2019
13,University of Tokyo,Japan,1,22,6,69,23,89.8,2019
14,Cornell University,USA,11,12,26,13,22,89.5,2019
15,Northwestern University,USA,12,160,16,31,24,89.3,2019
16,"University of California, Los Angeles",USA,13,32,57,15,10,89,2019
17,"University of Michigan, Ann Arbor",USA,14,35,35,85,9,88.8,2019
18,Johns Hopkins University,USA,15,31,164,20,7,88.6,2019
19,University of Washington - Seattle,USA,16,47,208,14,8,88.4,2019
20,University of Illinois at Urbana–Champaign,USA,17,16,129,17,46,88.2,2019
21,Kyoto University,Japan,2,33,29,36,58,88,2019
22,University College London,United Kingdom,3,36,669,18,13,87.8,2019
23,Duke University,USA,18,100,46,25,20,87.7,2019
24,University of Toronto,Canada,1,236,162,24,3,87.5,2019
25,University of Wisconsin–Madison,USA,19,28,80,35,27,87.3,2019
26,New York University,USA,20,64,39,37,39,87.2,2019
27,University of California San Diego,USA,21,67,-,16,15,87.1,2019
28,Imperial College London,United Kingdom,4,60,101,53,18,86.9,2019
29,ETH Zurich,Switzerland,1,41,90,28,36,86.8,2019
30,McGill University,Canada,2,27,91,71,41,86.7,2019
31,University of Texas at Austin,USA,22,72,58,43,44,86.5,2019
32,École Polytechnique,France,1,94,4,178,356,86.4,2019
33,Seoul National University,South Korea,1,-,21,-,48,86.3,2019
34,"University of California, San Francisco",USA,23,-,-,11,21,86.2,2019
35,Sorbonne University,France,2,55,339,82,19,86.1,2019
36,University of North Carolina at Chapel Hill,USA,24,214,107,46,28,85.9,2019
37,University of Edinburgh,United Kingdom,5,38,336,65,47,85.8,2019
38,University of Minnesota - Twin Cities,USA,25,77,291,90,25,85.7,2019
39,University of Copenhagen,Denmark,1,119,352,48,26,85.6,2019
40,University of Texas Southwestern Medical Center,USA,26,19,-,21,142,85.5,2019
41,Washington University in St. Louis,USA,27,150,163,42,35,85.4,2019
42,Karolinska Institute,Sweden,1,49,-,39,59,85.3,2019
43,École normale supérieure,France,3,7,543,123,360,85.2,2019
44,University of Southern California,USA,28,271,115,23,66,85.2,2019
45,Brown University,USA,29,66,49,81,118,85.1,2019
46,Vanderbilt University,USA,30,387,86,51,65,85,2019
47,Pennsylvania State University,USA,31,320,161,52,45,84.9,2019
48,Rutgers University–New Brunswick,USA,32,190,96,44,70,84.8,2019
49,Dartmouth College,USA,33,109,17,131,243,84.7,2019
50,"University of California, Davis",USA,34,97,565,56,43,84.6,2019
51,Ludwig Maximilian University of Munich,Germany,1,81,245,78,50,84.6,2019
52,University of British Columbia,Canada,3,158,662,99,29,84.5,2019
53,University of Virginia,USA,35,315,30,136,121,84.4,2019
54,Ohio State University,USA,36,113,233,113,32,84.3,2019
55,King's College London,United Kingdom,6,62,341,66,64,84.3,2019
56,University of Oslo,Norway,1,30,636,67,103,84.2,2019
57,University of Colorado Boulder,USA,37,139,168,29,81,84.1,2019
58,Weizmann Institute of Science,Israel,1,17,-,34,232,84,2019
59,Peking University,China,1,351,63,-,33,84,2019
60,University of Manchester,United Kingdom,7,123,243,77,49,83.9,2019
61,Purdue University,USA,38,107,76,64,102,83.8,2019
62,Hebrew University of Jerusalem,Israel,2,25,381,41,150,83.8,2019
63,University of Pittsburgh,USA,39,237,210,149,30,83.7,2019
64,University of Melbourne,Australia,1,134,377,135,34,83.6,2019
65,"University of California, Irvine",USA,40,-,1427,22,85,83.6,2019
66,"University of California, Santa Barbara",USA,41,74,534,26,115,83.5,2019
67,Rockefeller University,USA,42,20,-,7,336,83.5,2019
68,University of Zurich,Switzerland,2,118,713,50,72,83.4,2019
69,University of Arizona,USA,43,276,180,47,86,83.3,2019
70,Tsinghua University,China,2,403,100,-,37,83.3,2019
71,Free University of Berlin,Germany,2,133,1197,54,73,83.2,2019
72,Heidelberg University,Germany,3,83,854,115,61,83.2,2019
73,Utrecht University,Netherlands,1,241,353,143,42,83.1,2019
74,Boston University,USA,44,487,112,144,62,83,2019
75,National Taiwan University,Taiwan,1,155,36,-,114,83,2019
76,Technical University of Munich,Germany,4,45,323,145,83,82.9,2019
77,University of Bristol,United Kingdom,8,210,273,61,79,82.9,2019
78,Paris-Sud University,France,4,90,862,57,90,82.8,2019
79,École Polytechnique Fédérale de Lausanne,Switzerland,3,177,88,121,104,82.8,2019
80,Osaka University,Japan,3,80,56,217,109,82.7,2019
81,University of Florida,USA,45,243,453,124,55,82.7,2019
82,Georgia Institute of Technology,USA,46,193,156,91,93,82.6,2019
83,University of Utah,USA,47,152,175,88,97,82.6,2019
84,Carnegie Mellon University,USA,48,71,140,38,169,82.5,2019
85,National University of Singapore,Singapore,1,-,159,-,40,82.5,2019
86,Keio University,Japan,4,429,11,-,357,82.4,2019
87,"Texas A&M University, College Station",USA,49,-,155,83,105,82.4,2019
88,Paris Diderot University,France,5,216,-,55,96,82.3,2019
89,University of Alberta,Canada,4,404,387,110,75,82.3,2019
90,Emory University,USA,50,430,202,182,57,82.2,2019
91,University of Groningen,Netherlands,2,182,479,98,78,82.2,2019
92,Leiden University,Netherlands,3,98,1154,84,95,82.1,2019
93,University of Texas MD Anderson Cancer Center,USA,51,-,-,59,100,82.1,2019
94,Tufts University,USA,52,44,62,127,207,82,2019
95,Aarhus University,Denmark,2,164,345,105,82,82,2019
96,University of Chinese Academy of Sciences,China,3,-,1051,-,31,82,2019
97,University of Rochester,USA,53,65,70,198,136,81.9,2019
98,Erasmus University Rotterdam,Netherlands,4,-,83,234,77,81.9,2019
99,"University of Maryland, College Park",USA,54,106,438,201,60,81.8,2019
100,University of Sydney,Australia,2,201,588,-,38,81.8,2019
101,Humboldt University of Berlin,Germany,5,402,-,125,71,81.7,2019
102,Monash University,Australia,3,441,390,162,68,81.7,2019
103,Uppsala University,Sweden,2,196,478,111,98,81.7,2019
104,University of Tübingen,Germany,6,50,1045,89,148,81.6,2019
105,University of Montreal,Canada,5,397,431,116,92,81.6,2019
106,University of Basel,Switzerland,4,51,290,122,147,81.5,2019
107,University of Amsterdam,Netherlands,5,148,926,247,51,81.5,2019
108,Australian National University,Australia,4,114,670,75,123,81.4,2019
109,Rice University,USA,55,102,81,70,190,81.4,2019
110,Tokyo Institute of Technology,Japan,5,183,69,49,228,81.4,2019
111,Technion – Israel Institute of Technology,Israel,3,57,283,40,215,81.3,2019
112,KU Leuven,Belgium,1,-,395,-,53,81.3,2019
113,University of New South Wales,Australia,5,466,117,-,76,81.3,2019
114,Case Western Reserve University,USA,56,46,244,195,127,81.2,2019
115,University of Queensland,Australia,6,281,554,-,56,81.2,2019
116,Nagoya University,Japan,6,59,284,68,179,81.1,2019
117,University of Nottingham,United Kingdom,9,218,394,72,128,81.1,2019
118,KTH Royal Institute of Technology,Sweden,3,132,44,130,218,81.1,2019
119,Shanghai Jiao Tong University,China,4,-,216,-,69,81,2019
120,University of Geneva,Switzerland,5,78,359,160,122,81,2019
121,Zhejiang University,China,5,-,475,-,63,81,2019
122,University of Birmingham,United Kingdom,10,85,356,171,113,80.9,2019
123,Baylor College of Medicine,USA,57,175,-,101,125,80.9,2019
124,University of Freiburg,Germany,7,84,200,118,152,80.8,2019
125,University of Southampton,United Kingdom,11,468,328,134,112,80.8,2019
126,University of Western Australia,Australia,7,101,671,128,124,80.8,2019
127,McMaster University,Canada,6,153,673,153,108,80.7,2019
128,University of São Paulo,Brazil,1,457,264,219,89,80.7,2019
129,University of Barcelona,Spain,1,-,450,-,74,80.7,2019
130,Nanyang Technological University,Singapore,2,-,1186,-,67,80.6,2019
131,INSEAD,France,6,-,2,-,1583,80.6,2019
132,Fudan University,China,6,-,167,-,99,80.6,2019
133,University of Strasbourg,France,7,99,-,32,208,80.5,2019
134,University of Helsinki,Finland,1,417,1007,226,80,80.5,2019
135,University of Bonn,Germany,8,110,472,112,149,80.5,2019
136,Ghent University,Belgium,2,415,621,233,84,80.4,2019
137,University of Glasgow,United Kingdom,12,282,280,164,119,80.4,2019
138,Sapienza University of Rome,Italy,1,421,454,155,117,80.4,2019
139,Cardiff University,United Kingdom,13,310,480,58,166,80.3,2019
140,University of Notre Dame,USA,58,147,33,-,277,80.3,2019
141,Lund University,Sweden,4,203,684,-,87,80.3,2019
142,University of Iowa,USA,59,197,300,142,134,80.2,2019
143,Tel Aviv University,Israel,4,401,136,-,116,80.2,2019
144,Radboud University,Netherlands,6,163,571,-,94,80.2,2019
145,Grenoble Alpes University,France,8,317,1227,-,88,80.2,2019
146,VU Amsterdam,Netherlands,7,-,1015,-,91,80.1,2019
147,Brandeis University,USA,60,21,227,27,520,80.1,2019
148,Icahn School of Medicine at Mount Sinai,USA,61,-,-,210,107,80.1,2019
149,University of Colorado Denver | Anschutz Medical Campus,USA,62,-,-,100,154,80,2019
150,University of Science and Technology of China,China,7,385,360,-,106,80,2019
151,Aix-Marseille University,France,9,494,924,-,101,80,2019
152,Indiana University Bloomington,USA,63,162,75,188,193,79.9,2019
153,Michigan State University,USA,64,263,258,-,110,79.9,2019
154,University of Göttingen,Germany,9,56,292,237,158,79.9,2019
155,Goethe University Frankfurt,Germany,10,217,693,76,186,79.9,2019
156,University of Gothenburg,Sweden,5,405,396,94,176,79.8,2019
157,University of Bern,Switzerland,6,169,1212,166,133,79.8,2019
158,Tohoku University,Japan,7,140,147,-,135,79.8,2019
159,University of Massachusetts Amherst,USA,65,322,241,102,188,79.7,2019
160,University of Padova,Italy,2,372,1456,208,120,79.7,2019
161,Yonsei University,South Korea,2,-,111,-,145,79.7,2019
162,Norwegian University of Science and Technology,Norway,2,333,391,33,259,79.7,2019
163,University of Liverpool,United Kingdom,14,108,422,176,151,79.6,2019
164,University of Sheffield,United Kingdom,15,130,469,202,137,79.6,2019
165,MINES ParisTech,France,10,124,9,214,1011,79.6,2019
166,Arizona State University,USA,66,-,756,200,130,79.5,2019
167,University of Montpellier,France,11,497,1146,-,111,79.5,2019
168,Waseda University,Japan,8,311,23,-,441,79.5,2019
169,University of Hong Kong,Hong Kong,1,-,160,-,139,79.5,2019
170,University of Leeds,United Kingdom,16,111,293,-,132,79.4,2019
171,Queen Mary University of London,United Kingdom,17,104,711,152,164,79.4,2019
172,University of Warwick,United Kingdom,18,343,199,156,173,79.4,2019
173,Iowa State University,USA,67,325,203,137,192,79.4,2019
174,North Carolina State University,USA,68,369,404,140,172,79.3,2019
175,Nanjing University,China,8,463,473,-,126,79.3,2019
176,University of Hamburg,Germany,11,248,427,-,129,79.3,2019
177,Stockholm University,Sweden,6,173,299,158,174,79.3,2019
178,Korea University,South Korea,3,-,94,-,178,79.2,2019
179,University of Waterloo,Canada,7,-,215,138,200,79.2,2019
180,Université catholique de Louvain,Belgium,3,-,491,117,198,79.2,2019
181,University of Lausanne,Switzerland,7,-,834,104,204,79.2,2019
182,University of Missouri–Columbia,USA,69,447,206,63,267,79.1,2019
183,Wageningen University & Research,Netherlands,8,409,888,173,156,79.1,2019
184,University of Calgary,Canada,8,-,218,-,144,79.1,2019
185,HEC Paris,France,12,400,5,-,1871,79.1,2019
186,University of Ottawa,Canada,9,-,423,-,131,79,2019
187,Western University,Canada,10,-,93,-,184,79,2019
188,Chinese University of Hong Kong,Hong Kong,2,393,1175,180,157,79,2019
189,Hokkaido University,Japan,9,231,294,107,230,79,2019
190,University of Milan,Italy,3,407,594,-,138,78.9,2019
191,Sun Yat-sen University,China,9,-,523,-,141,78.9,2019
192,Sungkyunkwan University,South Korea,4,-,229,-,155,78.9,2019
193,Stony Brook University,USA,70,252,-,159,181,78.9,2019
194,University of Bologna,Italy,4,-,728,-,140,78.8,2019
195,Autonomous University of Barcelona,Spain,2,-,-,-,143,78.8,2019
196,London School of Hygiene & Tropical Medicine,United Kingdom,19,479,-,179,171,78.8,2019
197,University of Alabama at Birmingham,USA,71,-,986,-,146,78.8,2019
198,Université libre de Bruxelles,Belgium,4,261,261,120,247,78.7,2019
199,KAIST,South Korea,5,-,152,-,175,78.7,2019
200,University of Texas Health Science Center at Houston,USA,72,-,-,96,246,78.7,2019
201,University of Miami,USA,73,-,237,-,163,78.7,2019
202,University of Leicester,United Kingdom,20,-,-,109,245,78.6,2019
203,Georgetown University,USA,74,478,51,-,292,78.6,2019
204,"University of California, Riverside",USA,75,250,-,167,195,78.6,2019
205,Huazhong University of Science and Technology,China,10,-,209,-,170,78.6,2019
206,Virginia Commonwealth University,USA,76,-,983,74,278,78.6,2019
207,University of Georgia,USA,77,348,319,196,194,78.5,2019
208,"University of California, Santa Cruz",USA,78,264,-,151,205,78.5,2019
209,TU Dresden,Germany,12,-,-,-,153,78.5,2019
210,Kyushu University,Japan,10,232,105,-,220,78.5,2019
211,Newcastle University,United Kingdom,21,474,508,183,197,78.4,2019
212,University of Cologne,Germany,13,471,271,215,185,78.4,2019
213,Technical University of Denmark,Denmark,3,490,764,220,168,78.4,2019
214,University of Massachusetts Medical School,USA,79,-,-,45,314,78.4,2019
215,University of Kansas,USA,80,370,289,146,231,78.4,2019
216,Oregon Health & Science University,USA,81,-,-,212,177,78.3,2019
217,University of Adelaide,Australia,8,246,757,-,161,78.3,2019
218,Paris Descartes University,France,13,316,843,239,162,78.3,2019
219,University of Erlangen–Nuremberg,Germany,14,517,910,-,159,78.3,2019
220,University of Illinois at Chicago,USA,82,359,1056,-,160,78.2,2019
221,University of Münster,Germany,15,286,772,224,180,78.2,2019
222,Lomonosov Moscow State University,Russia,1,95,348,174,249,78.2,2019
223,University of Reading,United Kingdom,22,75,95,129,369,78.2,2019
224,Wake Forest University,USA,83,-,68,-,284,78.2,2019
225,Trinity College Dublin,Ireland,1,304,87,230,272,78.1,2019
226,Paul Sabatier University,France,14,-,-,-,165,78.1,2019
227,RWTH Aachen University,Germany,16,513,251,-,187,78.1,2019
228,University of Lisbon,Portugal,1,321,1058,229,182,78.1,2019
229,Yeshiva University,USA,84,142,-,204,206,78.1,2019
230,Claude Bernard University Lyon 1,France,15,-,1127,-,167,78,2019
231,University of Cincinnati,USA,85,357,204,-,203,78,2019
232,Karlsruhe Institute of Technology,Germany,17,508,282,-,191,78,2019
233,Colorado State University,USA,86,332,1190,157,235,78,2019
234,University of Houston,USA,87,-,118,106,340,78,2019
235,Johannes Gutenberg University Mainz,Germany,18,-,-,187,212,77.9,2019
236,Delft University of Technology,Netherlands,9,280,382,-,199,77.9,2019
237,Charles University in Prague,Czech Republic,1,486,1335,-,183,77.9,2019
238,University of Würzburg,Germany,19,136,908,249,201,77.9,2019
239,University of Turin,Italy,5,386,1096,-,189,77.9,2019
240,Harbin Institute of Technology,China,11,-,433,-,202,77.8,2019
241,University of Manitoba,Canada,11,346,220,150,287,77.8,2019
242,Maastricht University,Netherlands,10,-,1367,-,196,77.8,2019
243,Kiel University,Germany,20,476,885,213,221,77.8,2019
244,University of Tsukuba,Japan,11,-,-,103,297,77.8,2019
245,Wuhan University,China,12,-,357,-,211,77.7,2019
246,University of Auckland,New Zealand,1,437,421,-,213,77.7,2019
247,University of Delaware,USA,88,360,691,107,311,77.7,2019
248,Oregon State University,USA,89,328,522,169,262,77.7,2019
249,Complutense University of Madrid,Spain,3,253,127,245,265,77.7,2019
250,Xi'an Jiaotong University,China,13,-,197,-,240,77.6,2019
251,University of Sussex,United Kingdom,23,249,393,73,353,77.6,2019
252,University of Cape Town,South Africa,1,195,263,-,236,77.6,2019
253,"University of Maryland, Baltimore",USA,90,-,-,-,209,77.6,2019
254,University of the Witwatersrand,South Africa,2,293,79,-,308,77.6,2019
255,University of Naples Federico II,Italy,6,-,896,-,210,77.5,2019
256,Queen's University,Canada,12,477,367,139,296,77.5,2019
257,University of Florence,Italy,7,-,730,-,214,77.5,2019
258,University of Connecticut,USA,91,431,380,-,225,77.5,2019
259,University of Aberdeen,United Kingdom,24,512,638,161,281,77.5,2019
260,Florida State University,USA,92,-,619,-,219,77.5,2019
261,University of Bergen,Norway,3,365,-,-,216,77.4,2019
262,National Autonomous University of Mexico,Mexico,1,298,1344,189,253,77.4,2019
263,University of East Anglia,United Kingdom,25,92,-,147,304,77.4,2019
264,Indiana University – Purdue University Indianapolis,USA,93,-,912,-,217,77.4,2019
265,University of Exeter,United Kingdom,26,202,634,-,227,77.4,2019
266,University of Vienna,Austria,1,240,455,238,238,77.3,2019
267,Xiamen University,China,14,-,150,-,266,77.3,2019
268,Jilin University,China,15,-,528,-,226,77.3,2019
269,University at Buffalo,USA,94,-,661,-,222,77.3,2019
270,University of Liège,Belgium,5,185,-,92,339,77.3,2019
271,Virginia Tech,USA,95,339,296,-,242,77.3,2019
272,Shandong University,China,16,-,751,-,223,77.2,2019
273,"University of Tennessee, Knoxville",USA,96,472,333,-,241,77.2,2019
274,Sichuan University,China,17,-,1124,-,224,77.2,2019
275,University of Valencia,Spain,4,-,1261,-,229,77.2,2019
276,University of New Mexico,USA,97,-,-,-,233,77.2,2019
277,Autonomous University of Madrid,Spain,5,-,897,-,234,77.2,2019
278,Laval University,Canada,13,459,461,-,244,77.1,2019
279,Wayne State University,USA,98,445,265,-,254,77.1,2019
280,University of South Florida,USA,99,-,729,-,237,77.1,2019
281,Tianjin University,China,18,-,141,-,288,77.1,2019
282,University College Dublin,Ireland,2,-,248,-,257,77.1,2019
283,Washington State University,USA,100,269,786,141,310,77,2019
284,City University of Hong Kong,Hong Kong,3,-,1101,-,239,77,2019
285,University of Pisa,Italy,8,180,1103,-,248,77,2019
286,Nankai University,China,19,-,249,-,260,77,2019
287,George Washington University,USA,101,327,170,-,286,77,2019
288,University of Kentucky,USA,102,313,513,-,250,77,2019
289,Louisiana State University,USA,103,416,335,-,256,76.9,2019
290,South China University of Technology,China,20,-,222,-,275,76.9,2019
291,Hong Kong University of Science and Technology,Hong Kong,4,-,466,-,255,76.9,2019
292,Grenoble INP,France,16,68,1244,199,343,76.9,2019
293,London School of Economics and Political Science,United Kingdom,27,154,77,193,403,76.9,2019
294,Durham University,United Kingdom,28,506,285,-,271,76.9,2019
295,University of Duisburg-Essen,Germany,21,-,972,-,251,76.8,2019
296,Medical University of Vienna,Austria,2,-,-,-,252,76.8,2019
297,National and Kapodistrian University of Athens,Greece,1,-,641,-,258,76.8,2019
298,University of Nebraska–Lincoln,USA,104,259,374,-,276,76.8,2019
299,Hong Kong Polytechnic University,Hong Kong,5,-,297,-,279,76.8,2019
300,King Abdulaziz University,Saudi Arabia,1,-,1231,-,261,76.8,2019
301,Ruhr University Bochum,Germany,22,-,368,-,280,76.7,2019
302,University of Dundee,United Kingdom,29,-,1349,119,351,76.7,2019
303,University of Antwerp,Belgium,6,-,605,-,270,76.7,2019
304,Northeastern University,USA,105,362,157,-,306,76.7,2019
305,University of Parma,Italy,9,103,819,60,454,76.7,2019
306,Ulm University,Germany,23,-,871,-,268,76.7,2019
307,"Soochow University, China",China,21,-,-,-,263,76.6,2019
308,University of York,United Kingdom,30,-,-,-,264,76.6,2019
309,University of Rome Tor Vergata,Italy,10,-,1433,-,269,76.6,2019
310,Aalto University,Finland,2,-,207,-,294,76.6,2019
311,École nationale d'administration,France,17,-,7,-,-,76.6,2019
312,Southeast University,China,22,-,921,-,274,76.6,2019
313,University of Lille,France,18,500,-,-,273,76.6,2019
314,National Cheng Kung University,Taiwan,2,-,103,-,348,76.5,2019
315,Southern Methodist University,USA,106,208,27,-,676,76.5,2019
316,Leipzig University,Germany,24,448,-,241,282,76.5,2019
317,Eindhoven University of Technology,Netherlands,11,-,803,209,298,76.5,2019
318,University of Lorraine,France,19,491,378,216,307,76.5,2019
319,Umeå University,Sweden,7,-,1282,-,283,76.5,2019
320,University of Genoa,Italy,11,-,1308,-,285,76.4,2019
321,Dalhousie University,Canada,14,198,279,-,302,76.4,2019
322,University of Porto,Portugal,2,450,667,-,291,76.4,2019
323,Central South University,China,23,-,228,-,309,76.4,2019
324,Chinese Academy of Medical Sciences & Peking Union Medical College,China,24,-,-,-,289,76.4,2019
325,Friedrich Schiller University Jena,Germany,25,-,-,-,290,76.4,2019
326,Hanyang University,South Korea,6,-,219,-,318,76.4,2019
327,Dalian University of Technology,China,25,-,246,-,315,76.3,2019
328,Tongji University,China,26,-,242,-,317,76.3,2019
329,Polytechnic University of Milan,Italy,12,373,424,184,346,76.3,2019
330,Simon Fraser University,Canada,15,-,1289,-,293,76.3,2019
331,Versailles Saint-Quentin-en-Yvelines University,France,20,-,-,-,295,76.3,2019
332,University of South Carolina - Columbia,USA,107,-,515,-,300,76.3,2019
333,University of Otago,New Zealand,2,-,833,-,299,76.2,2019
334,University of Düsseldorf,Germany,26,228,-,-,303,76.2,2019
335,Ben-Gurion University of the Negev,Israel,5,-,-,163,363,76.2,2019
336,École des ponts ParisTech,France,21,96,25,-,937,76.2,2019
337,University of Granada,Spain,6,-,-,-,301,76.2,2019
338,National Tsing Hua University,Taiwan,3,188,1206,-,313,76.2,2019
339,Drexel University,USA,108,-,260,205,362,76.2,2019
340,Pohang University of Science and Technology,South Korea,7,-,-,-,305,76.1,2019
341,Linköping University,Sweden,8,-,560,-,319,76.1,2019
342,Beihang University,China,27,-,848,-,312,76.1,2019
343,Queen's University Belfast,United Kingdom,31,449,791,-,316,76.1,2019
344,University of Buenos Aires,Argentina,1,238,1222,-,320,76.1,2019
345,University of Pavia,Italy,13,473,681,245,322,76.1,2019
346,Beijing Normal University,China,28,-,1237,-,321,76.1,2019
347,Lancaster University,United Kingdom,32,-,562,-,330,76,2019
348,Temple University,USA,109,-,685,-,328,76,2019
349,Federal University of Rio de Janeiro,Brazil,2,378,408,-,335,76,2019
350,CentraleSupélec,France,22,-,38,-,653,76,2019
351,University of St Andrews,United Kingdom,33,344,747,-,329,76,2019
352,University of Southern Denmark,Denmark,4,-,1416,-,323,76,2019
353,University of Campinas,Brazil,3,-,-,-,324,76,2019
354,University of Milano-Bicocca,Italy,14,-,-,-,325,75.9,2019
355,University of Turku,Finland,3,-,1388,-,326,75.9,2019
356,Hannover Medical School,Germany,27,-,-,-,327,75.9,2019
357,Kyung Hee University,South Korea,8,-,1104,-,331,75.9,2019
358,University of the Basque Country,Spain,7,-,1147,-,332,75.9,2019
359,University of Belgrade,Serbia,1,424,-,-,333,75.9,2019
360,Curtin University,Australia,9,-,1347,-,334,75.9,2019
361,Vrije Universiteit Brussel,Belgium,7,380,-,-,338,75.8,2019
362,Jagiellonian University,Poland,1,-,-,-,337,75.8,2019
363,University of Stuttgart,Germany,28,79,329,-,415,75.8,2019
364,University of Regensburg,Germany,29,-,763,-,341,75.8,2019
365,Technical University of Berlin,Germany,30,219,519,-,350,75.8,2019
366,Medical University of South Carolina,USA,110,-,-,-,342,75.8,2019
367,Aalborg University,Denmark,5,-,784,-,344,75.8,2019
368,Pontifical Catholic University of Chile,Chile,1,502,191,-,390,75.7,2019
369,University of Perugia,Italy,15,-,-,-,345,75.7,2019
370,Justus Liebig University Giessen,Germany,31,-,-,-,347,75.7,2019
371,Macquarie University,Australia,10,-,574,-,352,75.7,2019
372,University of Victoria,Canada,16,-,-,-,349,75.7,2019
373,University of Texas at Dallas,USA,111,186,494,-,366,75.7,2019
374,"University at Albany, SUNY",USA,112,135,874,177,426,75.7,2019
375,"University of Oklahoma, Norman",USA,113,-,362,-,374,75.7,2019
376,Tampere University,Finland,4,-,379,-,373,75.6,2019
377,Chalmers University of Technology,Sweden,9,516,372,-,378,75.6,2019
378,Swedish University of Agricultural Sciences,Sweden,10,138,-,-,377,75.6,2019
379,Griffith University,Australia,11,-,1324,-,354,75.6,2019
380,University of Texas Health Science Center at San Antonio,USA,114,-,-,-,355,75.6,2019
381,Stellenbosch University,South Africa,3,-,153,-,420,75.6,2019
382,China Agricultural University,China,29,-,1105,-,359,75.6,2019
383,Thomas Jefferson University,USA,115,-,-,-,358,75.5,2019
384,Stockholm School of Economics,Sweden,11,-,20,222,1753,75.5,2019
385,University of Wollongong,Australia,12,-,573,-,371,75.5,2019
386,Beijing Institute of Technology,China,30,-,1038,-,361,75.5,2019
387,University of Ljubljana,Slovenia,1,-,-,-,364,75.5,2019
388,University of Newcastle,Australia,13,-,1285,-,365,75.5,2019
389,University of Twente,Netherlands,12,-,960,-,368,75.5,2019
390,Queensland University of Technology,Australia,14,-,1158,-,367,75.5,2019
391,Pompeu Fabra University,Spain,8,-,-,-,370,75.4,2019
392,University of Oregon,USA,116,379,-,-,372,75.4,2019
393,École des Hautes Études en Sciences Sociales,France,23,14,718,-,1150,75.4,2019
394,University of Warsaw,Poland,2,460,991,-,376,75.4,2019
395,East China University of Science and Technology,China,31,-,-,-,375,75.4,2019
396,King Saud University,Saudi Arabia,2,-,426,-,388,75.4,2019
397,Hunan University,China,32,-,582,-,382,75.4,2019
398,Kobe University,Japan,12,88,419,-,429,75.4,2019
399,George Mason University,USA,117,-,1432,172,437,75.3,2019
400,Lanzhou University,China,33,-,1060,-,379,75.3,2019
401,University of Ulsan,South Korea,9,-,625,-,383,75.3,2019
402,Deakin University,Australia,15,-,916,-,380,75.3,2019
403,University of Rennes 1,France,24,-,-,-,381,75.3,2019
404,York University,Canada,17,-,238,-,409,75.3,2019
405,University of Oulu,Finland,5,-,657,-,387,75.3,2019
406,University of Zaragoza,Spain,9,522,939,-,384,75.3,2019
407,Tulane University,USA,118,340,344,-,404,75.2,2019
408,University of Tasmania,Australia,16,-,-,-,385,75.2,2019
409,University of Innsbruck,Austria,3,-,760,240,397,75.2,2019
410,University of Seville,Spain,10,-,1464,-,386,75.2,2019
411,National Chiao Tung University,Taiwan,4,-,307,-,407,75.2,2019
412,Vienna University of Technology,Austria,4,518,696,-,394,75.2,2019
413,Texas Tech University,USA,119,-,432,-,399,75.2,2019
414,University of Trieste,Italy,16,439,956,-,392,75.2,2019
415,Hiroshima University,Japan,13,-,1359,-,389,75.1,2019
416,University of Coimbra,Portugal,3,514,1122,-,393,75.1,2019
417,Aristotle University of Thessaloniki,Greece,2,-,-,-,391,75.1,2019
418,University of Chile,Chile,2,-,470,-,401,75.1,2019
419,University of Eastern Finland,Finland,6,-,-,-,395,75.1,2019
420,Kansas State University,USA,120,413,425,-,405,75.1,2019
421,University of Bari,Italy,17,-,-,-,396,75.1,2019
422,China Europe International Business School,China,34,-,13,-,-,75.1,2019
423,University of Navarra,Spain,11,-,99,192,574,75,2019
424,University of KwaZulu-Natal,South Africa,4,484,267,-,424,75,2019
425,University of Marburg,Germany,32,444,-,250,398,75,2019
426,University of Hull,United Kingdom,34,127,225,114,618,75,2019
427,University of Bath,United Kingdom,35,-,561,-,406,75,2019
428,Boston College,USA,121,-,134,-,468,75,2019
429,Kyungpook National University,South Korea,10,-,837,-,402,75,2019
430,University of Vermont,USA,122,-,440,-,414,75,2019
431,King Abdullah University of Science and Technology,Saudi Arabia,3,-,-,-,400,74.9,2019
432,Hitotsubashi University,Japan,14,-,15,-,-,74.9,2019
433,Colorado School of Mines,USA,123,-,52,-,669,74.9,2019
434,East China Normal University,China,35,-,441,-,418,74.9,2019
435,Indian Institute of Science,India,1,209,648,-,417,74.9,2019
436,Rensselaer Polytechnic Institute,USA,124,291,143,-,479,74.9,2019
437,University of Saskatchewan,Canada,18,455,647,-,412,74.9,2019
