rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,subjects_offered,year
401–500,Muhimbili University of Health and Allied Sciences,42.1–44.9,4590,17.0,1491,11.0,1394,99.9,10,39.1,1096,49.2,688,Tanzania,"3,626",11.3,3%,"Other Health,Medicine & Dentistry",2023
401–500,Murdoch University,42.1–44.9,4600,21.6,983,27.8,479,70.6,479,46.7,500,93.2,78,Australia,"16,641",36.5,40%,"Economics & Econometrics,Law,Biological Sciences,Education,Communication & Media Studies,Languages, Literature & Linguistics,Physics & Astronomy,Chemical Engineering,Chemistry,Sociology,Other Health,Sport Science,Art, Performing Arts & Design,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Electrical & Electronic Engineering,Psychology,Accounting & Finance,Mathematics & Statistics,Business & Management,Veterinary Science,Computer Science,Politics & International Studies (incl Development Studies),Agriculture & Forestry",2023
401–500,National and Kapodistrian University of Athens,42.1–44.9,4610,22.1,944,20.1,740,82.4,276,67.9,211,56.3,546,Greece,"66,649",31.0,11%,"Computer Science,Law,Economics & Econometrics,Veterinary Science,Physics & Astronomy,Medicine & Dentistry,Electrical & Electronic Engineering,Chemistry,Archaeology,Education,Biological Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Civil Engineering,Mathematics & Statistics,Accounting & Finance,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Agriculture & Forestry,Psychology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Architecture,Other Health,Sport Science,Geography,Business & Management,General Engineering,Communication & Media Studies",2023
401–500,National Research Nuclear University MEPhI,42.1–44.9,4620,45.3,156,41.7,216,29.1,1232,100.0,6,70.0,344,Russian Federation,"5,016",9.2,31%,"Biological Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Physics & Astronomy,Mathematics & Statistics,Education,Other Health,Art, Performing Arts & Design,Computer Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Electrical & Electronic Engineering,Economics & Econometrics,Law,Chemistry,Medicine & Dentistry,Business & Management,Politics & International Studies (incl Development Studies),General Engineering,Civil Engineering",2023
401–500,University of Nebraska-Lincoln,42.1–44.9,4630,34.0,378,31.0,410,60.5,657,39.6,1023,56.1,554,United States,"24,909",16.8,10%,"Art, Performing Arts & Design,Electrical & Electronic Engineering,Veterinary Science,Sociology,Architecture,Education,Sport Science,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Mathematics & Statistics,Mechanical & Aerospace Engineering,Communication & Media Studies,Chemical Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Other Health,Psychology,Economics & Econometrics,Civil Engineering,Chemistry,History, Philosophy & Theology,General Engineering,Physics & Astronomy,Archaeology,Law,Biological Sciences,Business & Management,Computer Science,Agriculture & Forestry,Geography",2023
401–500,University of Nebraska Medical Center,42.1–44.9,4640,34.9,347,12.6,1224,83.2,263,40.2,931,46.3,766,United States,"3,181",2.0,9%,"Psychology,Medicine & Dentistry,Other Health,Education,Biological Sciences",2023
401–500,Norwegian University of Science and Technology,42.1–44.9,4650,30.0,526,34.7,315,60.1,666,42.9,692,67.5,376,Norway,"37,707",15.8,9%,"Geology, Environmental, Earth & Marine Sciences,Computer Science,Psychology,Civil Engineering,History, Philosophy & Theology,Education,Sociology,Mathematics & Statistics,General Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Communication & Media Studies,Accounting & Finance,Electrical & Electronic Engineering,Other Health,Art, Performing Arts & Design,Architecture,Chemical Engineering,Chemistry,Archaeology,Economics & Econometrics,Mechanical & Aerospace Engineering,Geography,Business & Management,Biological Sciences,Sport Science,Physics & Astronomy,Languages, Literature & Linguistics",2023
401–500,Nova Southeastern University,42.1–44.9,4660,39.4,251,10.6,1443,87.5,194,36.9,1776,28.9,1307,United States,"17,952",16.3,4%,"Computer Science,Communication & Media Studies,Accounting & Finance,Psychology,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Economics & Econometrics,Physics & Astronomy,Chemistry,Sociology,Sport Science,Education,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Medicine & Dentistry,History, Philosophy & Theology,General Engineering,Business & Management,Mathematics & Statistics,Other Health,Biological Sciences,Law",2023
401–500,Örebro University,42.1–44.9,4670,17.7,1395,21.8,674,87.1,202,37.7,1374,55.1,571,Sweden,"10,005",15.2,5%,"Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Civil Engineering,Other Health,Education,Sport Science,Psychology,Computer Science,Mathematics & Statistics,Electrical & Electronic Engineering,Law,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Accounting & Finance,Languages, Literature & Linguistics,Business & Management,History, Philosophy & Theology,Sociology,Communication & Media Studies,Chemistry,Medicine & Dentistry,Mechanical & Aerospace Engineering,General Engineering,Biological Sciences",2023
401–500,University of Passau,42.1–44.9,4680,35.6,330,38.1,262,54.5,771,43.0,681,53.6,595,Germany,"9,703",69.2,12%,"Computer Science,Business & Management,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Accounting & Finance,Sport Science,Geography,Economics & Econometrics,History, Philosophy & Theology,Languages, Literature & Linguistics,Communication & Media Studies,Law,Psychology,Sociology,Education",2023
401–500,University of Pisa,42.1–44.9,4690,28.8,573,30.2,426,69.2,501,41.7,781,40.6,943,Italy,"33,791",21.9,6%,"Chemistry,General Engineering,Other Health,Archaeology,Civil Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Art, Performing Arts & Design,Veterinary Science,Computer Science,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Medicine & Dentistry,Psychology,Chemical Engineering,Business & Management,Biological Sciences,Law,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Accounting & Finance,Sport Science,Politics & International Studies (incl Development Studies),Education,Physics & Astronomy,Economics & Econometrics,Sociology,Agriculture & Forestry",2023
401–500,University of Plymouth,42.1–44.9,4700,22.2,935,22.7,638,79.6,326,37.2,1579,73.0,302,United Kingdom,"15,605",17.7,16%,"Chemistry,Mathematics & Statistics,Sport Science,Civil Engineering,History, Philosophy & Theology,Computer Science,Mechanical & Aerospace Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Economics & Econometrics,Art, Performing Arts & Design,Education,Other Health,Accounting & Finance,Psychology,Electrical & Electronic Engineering,Geography,Business & Management,Languages, Literature & Linguistics,Architecture,Law,Medicine & Dentistry,Agriculture & Forestry,Communication & Media Studies,Sociology",2023
401–500,Pontificia Universidad Católica de Chile,42.1–44.9,4710,24.2,801,31.9,389,66.2,553,70.3,192,56.2,551,Chile,"31,578",16.0,4%,"Sociology,Geography,Communication & Media Studies,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,History, Philosophy & Theology,Education,Veterinary Science,Business & Management,Chemical Engineering,Economics & Econometrics,Mechanical & Aerospace Engineering,Other Health,Chemistry,Languages, Literature & Linguistics,Computer Science,Law,Architecture,Civil Engineering,Archaeology,General Engineering,Sport Science,Medicine & Dentistry,Agriculture & Forestry,Physics & Astronomy,Accounting & Finance,Biological Sciences,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences",2023
401–500,University of Porto,42.1–44.9,4720,26.6,667,32.3,377,63.7,597,41.9,766,57.9,514,Portugal,"33,484",16.2,16%,"Sociology,Computer Science,Agriculture & Forestry,Chemical Engineering,Medicine & Dentistry,Veterinary Science,Economics & Econometrics,Sport Science,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Psychology,Civil Engineering,Accounting & Finance,Mathematics & Statistics,Electrical & Electronic Engineering,Geography,Architecture,Chemistry,Politics & International Studies (incl Development Studies),Physics & Astronomy,General Engineering,Business & Management,Art, Performing Arts & Design,Biological Sciences,Other Health,History, Philosophy & Theology,Communication & Media Studies,Law,Archaeology,Education",2023
401–500,University of Portsmouth,42.1–44.9,4730,18.8,1241,19.2,786,76.3,385,37.6,1401,91.4,98,United Kingdom,"22,490",16.4,29%,"Politics & International Studies (incl Development Studies),Law,Psychology,Languages, Literature & Linguistics,Computer Science,Communication & Media Studies,Physics & Astronomy,Economics & Econometrics,Geography,Sport Science,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Other Health,Business & Management,General Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Biological Sciences,Chemical Engineering,Sociology,Civil Engineering,History, Philosophy & Theology,Accounting & Finance,Architecture,Education,Mechanical & Aerospace Engineering",2023
401–500,Qazvin University of Medical Sciences,42.1–44.9,4740,30.6,499,10.3,1478,99.9,11,37.0,1697,22.6,1590,Iran,"2,598",9.2,1%,"Medicine & Dentistry,Other Health",2023
401–500,Qom University of Medical Sciences,42.1–44.9,4750,28.9,568,9.8,1545,100.0,6,37.0,1698,19.4,1709,Iran,"2,272",9.1,4%,"Medicine & Dentistry,Other Health",2023
401–500,Quaid-i-Azam University,42.1–44.9,4760,26.9,654,22.9,629,78.7,349,38.2,1255,48.6,704,Pakistan,"9,250",16.5,1%,"Business & Management,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Archaeology,Accounting & Finance,Economics & Econometrics,Geography,Mathematics & Statistics,Psychology,Communication & Media Studies,General Engineering,Law,Chemistry,Computer Science,Sociology,Politics & International Studies (incl Development Studies),Physics & Astronomy,History, Philosophy & Theology,Other Health,Medicine & Dentistry,Languages, Literature & Linguistics",2023
401–500,Sabancı University,42.1–44.9,4770,25.5,713,37.7,269,57.0,720,73.4,168,59.7,486,Turkey,"3,819",20.0,10%,"Mechanical & Aerospace Engineering,Business & Management,Biological Sciences,Accounting & Finance,Psychology,Art, Performing Arts & Design,General Engineering,Mathematics & Statistics,Economics & Econometrics,Computer Science,Physics & Astronomy,History, Philosophy & Theology,Chemistry,Sociology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",2023
401–500,Sharif University of Technology,42.1–44.9,4780,33.5,395,36.3,289,60.4,659,89.5,74,31.6,1208,Iran,"9,219",22.5,2%,"Computer Science,Chemical Engineering,General Engineering,Economics & Econometrics,History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Civil Engineering,Business & Management,Electrical & Electronic Engineering,Accounting & Finance,Chemistry,Physics & Astronomy,Mechanical & Aerospace Engineering",2023
401–500,Shenzhen University,42.1–44.9,4790,23.0,877,27.9,477,86.0,219,50.5,402,34.5,1119,China,"38,240",14.1,1%,"Geology, Environmental, Earth & Marine Sciences,Computer Science,History, Philosophy & Theology,Architecture,Chemical Engineering,Economics & Econometrics,Sport Science,Languages, Literature & Linguistics,Art, Performing Arts & Design,Sociology,Chemistry,Politics & International Studies (incl Development Studies),Education,Electrical & Electronic Engineering,Law,Civil Engineering,Mathematics & Statistics,Medicine & Dentistry,General Engineering,Physics & Astronomy,Psychology,Geography,Other Health,Business & Management,Communication & Media Studies,Mechanical & Aerospace Engineering,Biological Sciences,Accounting & Finance",2023
401–500,University of Siena,42.1–44.9,4800,21.5,1004,25.3,551,79.9,320,41.7,783,43.5,852,Italy,"12,948",18.7,9%,"Sociology,Business & Management,Politics & International Studies (incl Development Studies),Archaeology,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Economics & Econometrics,Education,Physics & Astronomy,Biological Sciences,Medicine & Dentistry,Accounting & Finance,Agriculture & Forestry,Chemistry,Law,Mathematics & Statistics,Computer Science,Languages, Literature & Linguistics,Communication & Media Studies,Electrical & Electronic Engineering,Geography,Other Health",2023
401–500,South China University of Technology,42.1–44.9,4810,28.2,596,35.6,304,70.7,477,80.7,108,34.4,1123,China,"40,082",12.7,5%,"Biological Sciences,Architecture,Civil Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Mechanical & Aerospace Engineering,Chemical Engineering,Accounting & Finance,General Engineering,Chemistry,Business & Management,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sociology,Physics & Astronomy,Economics & Econometrics,Electrical & Electronic Engineering,Agriculture & Forestry,Medicine & Dentistry,History, Philosophy & Theology,Law,Politics & International Studies (incl Development Studies),Computer Science,Communication & Media Studies,Sport Science,Other Health",2023
401–500,Southeast University,42.1–44.9,4820,34.8,355,42.3,209,47.2,902,93.7,47,37.8,1019,China,"37,484",12.3,4%,"Chemical Engineering,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Biological Sciences,General Engineering,Politics & International Studies (incl Development Studies),Sport Science,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Other Health,Law,Education,Communication & Media Studies,Computer Science,Business & Management,Architecture,Psychology,Accounting & Finance,History, Philosophy & Theology,Physics & Astronomy,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,Art, Performing Arts & Design,Sociology,Civil Engineering,Chemistry",2023
401–500,Southern Medical University,42.1–44.9,4830,38.6,271,37.7,270,58.0,703,43.8,628,25.0,1465,China,"20,432",10.7,6%,"Biological Sciences,Psychology,Other Health,Languages, Literature & Linguistics,Mathematics & Statistics,General Engineering,Business & Management,Law,Medicine & Dentistry,Economics & Econometrics",2023
401–500,SRUC (Scotland’s Rural College),42.1–44.9,4840,23.6,833,12.6,1226,92.1,121,42.5,725,59.1,498,United Kingdom,"1,325",5.3,8%,"Geology, Environmental, Earth & Marine Sciences,Business & Management,Veterinary Science,Biological Sciences,Agriculture & Forestry",2023
401–500,University of Strathclyde,42.1–44.9,4850,32.0,446,33.9,325,56.1,740,47.8,463,89.7,114,United Kingdom,"19,840",17.0,29%,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Civil Engineering,Law,Mathematics & Statistics,Mechanical & Aerospace Engineering,Other Health,Chemistry,Chemical Engineering,History, Philosophy & Theology,Sport Science,Psychology,Sociology,Agriculture & Forestry,Art, Performing Arts & Design,Architecture,Geography,Education,Economics & Econometrics,Electrical & Electronic Engineering,General Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Biological Sciences,Computer Science,Accounting & Finance,Communication & Media Studies,Business & Management",2023
401–500,Sumy State University,42.1–44.9,4860,19.5,1175,12.3,1259,94.5,97,39.9,985,57.2,527,Ukraine,"8,703",11.4,21%,"Accounting & Finance,Biological Sciences,Education,Geology, Environmental, Earth & Marine Sciences,Business & Management,Sport Science,Economics & Econometrics,General Engineering,Psychology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Law,Medicine & Dentistry,Physics & Astronomy,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Computer Science,Chemistry,Civil Engineering,Sociology,Other Health,Electrical & Electronic Engineering,Communication & Media Studies,Mathematics & Statistics,Chemical Engineering",2023
401–500,Syracuse University,42.1–44.9,4870,34.9,349,28.0,475,64.3,585,37.2,1583,50.7,654,United States,"20,620",14.9,23%,"Economics & Econometrics,Chemical Engineering,Physics & Astronomy,History, Philosophy & Theology,Law,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Civil Engineering,Mathematics & Statistics,Education,Biological Sciences,Sociology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Accounting & Finance,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Other Health,Chemistry,Computer Science,Sport Science,Geography,Business & Management,General Engineering,Psychology",2023
401–500,Universiti Teknologi Petronas,42.1–44.9,4880,26.8,662,33.8,329,58.9,689,77.6,138,76.7,257,Malaysia,"5,021",13.6,16%,"Civil Engineering,Business & Management,Geology, Environmental, Earth & Marine Sciences,Chemistry,General Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Computer Science,Chemical Engineering",2023
401–500,Tianjin University,42.1–44.9,4890,35.3,335,42.8,201,51.6,825,89.9,67,41.5,925,China,"27,353",8.7,12%,"Accounting & Finance,Biological Sciences,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Agriculture & Forestry,Architecture,General Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Chemical Engineering,Chemistry,Business & Management,Law,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Veterinary Science,Computer Science,Sport Science,Civil Engineering",2023
401–500,Ton Duc Thang University,42.1–44.9,4900,13.5,1771,16.0,958,99.2,23,39.8,1000,58.4,507,Vietnam,"27,878",25.3,1%,"Art, Performing Arts & Design,Sociology,Accounting & Finance,Chemical Engineering,Law,Computer Science,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Civil Engineering,Sport Science,Education,Biological Sciences,Business & Management,General Engineering,Architecture,Other Health,Mathematics & Statistics,Electrical & Electronic Engineering",2023
401–500,University of Trento,42.1–44.9,4910,27.0,653,32.3,378,66.5,548,41.1,836,56.9,535,Italy,"14,219",19.2,8%,"Sociology,Business & Management,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Archaeology,Agriculture & Forestry,Mathematics & Statistics,History, Philosophy & Theology,Economics & Econometrics,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Biological Sciences,Sport Science,Computer Science,Accounting & Finance,Civil Engineering,Chemical Engineering,Psychology,Law,Architecture,Medicine & Dentistry",2023
401–500,The University of Tulsa,42.1–44.9,4920,37.8,284,17.1,887,75.6,398,48.0,458,36.4,1059,United States,"4,407",12.0,10%,"Computer Science,Communication & Media Studies,Economics & Econometrics,Civil Engineering,Psychology,Other Health,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,General Engineering,Chemistry,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Mathematics & Statistics,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,Accounting & Finance,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Education,Sport Science,Sociology,Biological Sciences",2023
401–500,University of Turin,42.1–44.9,4930,21.5,1005,29.7,434,77.5,368,43.9,620,41.4,928,Italy,"58,463",28.4,6%,"Art, Performing Arts & Design,Mathematics & Statistics,Sport Science,Medicine & Dentistry,Psychology,Accounting & Finance,Chemistry,History, Philosophy & Theology,Sociology,Archaeology,Law,Business & Management,Computer Science,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,Architecture,Languages, Literature & Linguistics,Physics & Astronomy,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Geography,Other Health,Education,Economics & Econometrics,Biological Sciences,Communication & Media Studies",2023
401–500,TU Wien,42.1–44.9,4940,40.1,233,37.4,274,38.1,1067,62.0,251,87.6,143,Austria,"10,327",17.7,31%,"Chemistry,General Engineering,Architecture,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Physics & Astronomy,Civil Engineering",2023
401–500,Umeå University,42.1–44.9,4950,21.9,967,29.6,437,78.4,355,38.5,1192,64.5,414,Sweden,"18,218",12.6,11%,"Art, Performing Arts & Design,Computer Science,Sport Science,Law,Physics & Astronomy,Medicine & Dentistry,Electrical & Electronic Engineering,Economics & Econometrics,General Engineering,Psychology,Sociology,Accounting & Finance,Education,Chemistry,Communication & Media Studies,Agriculture & Forestry,Architecture,Other Health,Veterinary Science,Politics & International Studies (incl Development Studies),Archaeology,Business & Management,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Chemical Engineering,Mathematics & Statistics,History, Philosophy & Theology,Civil Engineering,Biological Sciences,Geography",2023
401–500,Urmia University of Medical Sciences,42.1–44.9,4960,35.0,344,10.0,1524,90.4,142,36.9,1797,19.7,1698,Iran,"4,644",12.0,2%,Medicine & Dentistry,2023
401–500,Universiti Utara Malaysia,42.1–44.9,4970,33.4,397,25.7,535,60.2,661,41.2,827,74.8,276,Malaysia,"12,457",11.6,30%,"Communication & Media Studies,Sociology,Computer Science,Economics & Econometrics,Languages, Literature & Linguistics,Mathematics & Statistics,Education,Psychology,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Law,Accounting & Finance,Business & Management,Geography,History, Philosophy & Theology",2023
401–500,Victoria University of Wellington,42.1–44.9,4980,27.8,612,34.0,324,53.2,792,53.7,341,87.4,147,New Zealand,"17,883",18.8,20%,"Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,History, Philosophy & Theology,Law,Accounting & Finance,Economics & Econometrics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Computer Science,Biological Sciences,Mathematics & Statistics,Geography,Communication & Media Studies,Sociology,Other Health,Architecture,Education,Psychology,Chemistry,Business & Management,Languages, Literature & Linguistics",2023
401–500,University of Waikato,42.1–44.9,4990,21.6,986,28.1,473,66.4,551,40.8,867,95.4,39,New Zealand,"10,472",17.6,31%,"Civil Engineering,Communication & Media Studies,Accounting & Finance,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Geography,Art, Performing Arts & Design,Business & Management,Chemical Engineering,Psychology,History, Philosophy & Theology,Electrical & Electronic Engineering,Chemistry,Sociology,Sport Science,Other Health,Computer Science,Biological Sciences,Languages, Literature & Linguistics,Mathematics & Statistics,Education,Physics & Astronomy,Economics & Econometrics,Agriculture & Forestry,Law,Politics & International Studies (incl Development Studies)",2023
401–500,University of the West of England,42.1–44.9,5000,18.3,1307,14.6,1064,92.9,111,37.6,1410,72.9,305,United Kingdom,"24,585",15.9,23%,"History, Philosophy & Theology,Sociology,Biological Sciences,Business & Management,Mechanical & Aerospace Engineering,Geography,Civil Engineering,Mathematics & Statistics,Accounting & Finance,Economics & Econometrics,General Engineering,Education,Languages, Literature & Linguistics,Communication & Media Studies,Computer Science,Politics & International Studies (incl Development Studies),Law,Art, Performing Arts & Design,Architecture,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Psychology",2023
401–500,William & Mary,42.1–44.9,5010,43.7,174,21.4,693,64.3,586,37.3,1546,35.7,1078,United States,"8,089",10.9,8%,"Psychology,Computer Science,Sport Science,History, Philosophy & Theology,Mathematics & Statistics,Accounting & Finance,Law,Sociology,Art, Performing Arts & Design,Education,Physics & Astronomy,Geography,Languages, Literature & Linguistics,Chemistry,Politics & International Studies (incl Development Studies),Business & Management,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Economics & Econometrics",2023
401–500,Xiamen University,42.1–44.9,5020,30.8,486,28.5,461,78.4,356,53.1,354,28.3,1335,China,"42,760",15.4,2%,"Other Health,Mathematics & Statistics,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Veterinary Science,Economics & Econometrics,Sport Science,Archaeology,Chemical Engineering,Physics & Astronomy,Architecture,Civil Engineering,Law,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Education,Biological Sciences,Geography,History, Philosophy & Theology,Computer Science,Agriculture & Forestry,Communication & Media Studies,Business & Management,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Medicine & Dentistry,Psychology,Accounting & Finance,Chemistry,General Engineering",2023
401–500,York University,42.1–44.9,5030,25.1,741,33.1,349,67.0,540,42.1,747,75.3,268,Canada,"44,036",29.1,28%,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,General Engineering,Computer Science,Business & Management,Chemistry,Other Health,Psychology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Biological Sciences,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Communication & Media Studies,Law,Education,Politics & International Studies (incl Development Studies),Economics & Econometrics,Civil Engineering,Sport Science,Geography,Agriculture & Forestry,Mathematics & Statistics,Accounting & Finance,Sociology",2023
501–600,Aberystwyth University,39.3–42.0,5040,22.3,923,23.4,610,64.1,588,39.8,989,81.1,208,United Kingdom,"6,180",16.3,24%,"Geology, Environmental, Earth & Marine Sciences,Sociology,Education,Biological Sciences,Geography,Agriculture & Forestry,Art, Performing Arts & Design,Law,Politics & International Studies (incl Development Studies),Computer Science,Mathematics & Statistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Economics & Econometrics,Languages, Literature & Linguistics,Physics & Astronomy,Communication & Media Studies,Psychology,Veterinary Science,Other Health,Business & Management,Accounting & Finance,Sport Science",2023
501–600,An-Najah National University,39.3–42.0,5050,13.3,1773,8.9,1655,98.4,36,38.1,1269,64.1,421,Palestine,"23,922",23.9,10%,"History, Philosophy & Theology,Civil Engineering,Mathematics & Statistics,Archaeology,Education,Architecture,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Veterinary Science,Sport Science,Physics & Astronomy,Other Health,Accounting & Finance,Chemical Engineering,Biological Sciences,Business & Management,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Psychology,Agriculture & Forestry,Economics & Econometrics,Geography,Law,Computer Science,Communication & Media Studies,Medicine & Dentistry,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,Chemistry",2023
501–600,University of L’Aquila,39.3–42.0,5060,33.0,407,24.3,579,69.2,500,54.8,324,34.6,1115,Italy,"18,491",40.2,4%,"Architecture,Electrical & Electronic Engineering,Mathematics & Statistics,Archaeology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Other Health,Sport Science,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Physics & Astronomy,History, Philosophy & Theology,Civil Engineering,Chemistry,Business & Management,Education,Communication & Media Studies,Economics & Econometrics,Biological Sciences,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,General Engineering,Psychology,Computer Science,Geography,Medicine & Dentistry,Sociology,Agriculture & Forestry",2023
501–600,Bauman Moscow State Technical University,39.3–42.0,5070,56.6,76,32.0,383,23.8,1335,81.0,105,49.5,680,Russian Federation,"16,925",6.8,15%,"History, Philosophy & Theology,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,General Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Sport Science,Civil Engineering,Biological Sciences,Chemistry,Law,Computer Science,Accounting & Finance,Business & Management,Other Health,Mechanical & Aerospace Engineering,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Agriculture & Forestry,Languages, Literature & Linguistics,Sociology,Chemical Engineering",2023
501–600,Beihang University,39.3–42.0,5080,32.9,410,39.6,245,48.4,883,90.0,65,27.1,1379,China,"31,821",12.9,4%,"Chemistry,Physics & Astronomy,Civil Engineering,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Business & Management,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,General Engineering,Mathematics & Statistics,Economics & Econometrics,Law,Computer Science,Languages, Literature & Linguistics",2023
501–600,Beijing Institute of Technology,39.3–42.0,5090,33.6,389,36.2,290,49.9,854,99.8,16,25.8,1431,China,"35,710",14.2,6%,"Geology, Environmental, Earth & Marine Sciences,Sociology,Psychology,History, Philosophy & Theology,Business & Management,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Education,Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,Sport Science,Computer Science,Accounting & Finance,Law,Biological Sciences,Chemistry,Economics & Econometrics,Physics & Astronomy,Chemical Engineering,General Engineering",2023
501–600,Birmingham City University,39.3–42.0,5100,16.3,1574,10.8,1413,90.3,143,37.1,1594,72.0,320,United Kingdom,"22,935",16.6,26%,"Architecture,Sociology,Computer Science,Other Health,Mechanical & Aerospace Engineering,Psychology,Art, Performing Arts & Design,Civil Engineering,Languages, Literature & Linguistics,Law,Business & Management,Sport Science,Education,Biological Sciences,Economics & Econometrics,Accounting & Finance,Communication & Media Studies,Electrical & Electronic Engineering",2023
